learn:dsjwz.csv check jqzx.csv:172:教程 | 5种快速易用的Python Matplotlib数据可视化方法 	 Result: 	0.18884308524326418 	325 	105



  	class: 命运  	d: 11  	pt: 2.0  	diff:  大数A0.6666666666666666 命运A0.3333333333333333 天数B1.0
  	class: 条形  	d: 3  	pt: 2.0  	diff:  线形A1.0 条形B1.0
  	class: 判断  	d: 11  	pt: 2.0  	diff:  判断A0.813953488372093 判定A0.09302325581395349 评断A0.023255813953488372 论断A0.023255813953488372 断定A0.046511627906976744 看清B1.0
  	class: 本来  	d: 12  	pt: 1.8857142857142857  	diff:  原始A0.5857142857142857 原A0.15714285714285714 旧AB0.9428571428571428 原有A0.07142857142857142 原本A0.12857142857142856
  	class: 缺少  	d: 14  	pt: 1.8208955223880596  	diff:  短A0.23880597014925373 缺乏A0.4626865671641791 缺少AB0.9104477611940298 缺失A0.14925373134328357 欠A0.05970149253731343
  	class: 使得  	d: 5  	pt: 1.8181818181818181  	diff:  教A0.9090909090909091 令AB0.9090909090909091
  	class: 近似  	d: 17  	pt: 1.7422680412371132  	diff:  类似A0.5 接近A0.16494845360824742 类A0.02577319587628866 好像A0.07731958762886598 相近A0.041237113402061855 象是A0.005154639175257732 近似AB0.8711340206185567 看似A0.05670103092783505
  	class: 宽度  	d: 19  	pt: 1.6842105263157894  	diff:  步长A0.47368421052631576 小幅A0.05263157894736842 增长率A0.3157894736842105 宽度AB0.17543859649122806 幅度B0.6666666666666666
  	class: 仔细  	d: 21  	pt: 1.666666666666667  	diff:  细致AB0.8333333333333334 精心A0.3888888888888889 细密A0.05555555555555555 细A0.16666666666666666 细心A0.2222222222222222
  	class: 任意  	d: 17  	pt: 1.6666666666666665  	diff:  任意A0.5 自由A0.3333333333333333 轻易AB0.8333333333333334
  	class: 图  	d: 6  	pt: 1.65625  	diff:  图形AB0.09479166666666666 图片A0.828125 图表AB0.7333333333333334
  	class: 杂乱  	d: 37  	pt: 1.6  	diff:  混乱A0.5333333333333333 凌乱A0.2 杂乱AB0.8 驳杂A0.06666666666666667
  	class: 正常  	d: 8  	pt: 1.5333333333333332  	diff:  常规AB0.7666666666666666 健康A0.7666666666666667
  	class: 频率  	d: 2  	pt: 1.4864864864864864  	diff:  效率A0.7432432432432432 频率AB0.7432432432432432
  	class: 上下  	d: 4  	pt: 1.4545454545454546  	diff:  优劣AB0.7272727272727273 好坏A0.7272727272727273
  	class: 管保  	d: 16  	pt: 1.3643410852713178  	diff:  包A0.24031007751937986 保证AB0.6821705426356589 确保A0.4263565891472868 担保A0.007751937984496124 承保A0.007751937984496124
  	class: 积累  	d: 5  	pt: 1.3333333333333335  	diff:  积累A0.5333333333333333 累积AB0.6666666666666667 积攒A0.13333333333333333
  	class: 使用  	d: 14  	pt: 1.3306451612903227  	diff:  利用A0.5362903225806451 用到A0.12096774193548387 采用AB0.6653225806451613 运A0.004032258064516129 动用A0.004032258064516129
  	class: 成为  	d: 8  	pt: 1.22  	diff:  化为A0.01 成A0.51 化AB0.61 变为A0.07 改为A0.02
