learn:dsjwz.csv check jqzx.csv:209:深度 | 让机器思考与互相理解：DeepMind提出机器心智理论神经网络ToMnet 	 Result: 	0.1672245160123829 	605 	185



  	class: 额  	d: 9  	pt: 2.0  	diff:  额A1.0 前额B1.0
  	class: 回  	d: 5  	pt: 1.9702233250620347  	diff:  章节AB0.9851116625310173 区块A0.9826302729528535 章A0.0024813895781637717
  	class: 起源  	d: 12  	pt: 1.9609756097560975  	diff:  来源A0.8926829268292683 来源于A0.04878048780487805 源A0.004878048780487805 源于A0.01951219512195122 根源A0.00975609756097561 起源AB0.9804878048780488 出自A0.004878048780487805
  	class: 意图  	d: 6  	pt: 1.9545454545454546  	diff:  作用A0.9772727272727273 意图AB0.9772727272727273
  	class: 阐明  	d: 8  	pt: 1.9444444444444446  	diff:  发明A0.4351851851851852 表A0.5370370370370371 阐明AB0.9722222222222222
  	class: 人造  	d: 4  	pt: 1.923076923076923  	diff:  人工A0.8076923076923077 人造AB0.9615384615384616 人为A0.15384615384615385
  	class: 顶点  	d: 9  	pt: 1.878787878787879  	diff:  终极AB0.9393939393939394 终端A0.06060606060606061 极限A0.18181818181818182 顶点A0.6818181818181818 顶峰A0.015151515151515152
  	class: 长  	d: 4  	pt: 1.8666666666666667  	diff:  条A0.9333333333333333 长条AB0.9333333333333333
  	class: 交  	d: 12  	pt: 1.8632478632478633  	diff:  给出A0.5897435897435898 付出AB0.9316239316239316 交给A0.02564102564102564 交付A0.042735042735042736 提交A0.27350427350427353
  	class: 表达  	d: 5  	pt: 1.8028169014084507  	diff:  表达A0.6197183098591549 表述AB0.9014084507042254 发挥A0.28169014084507044
  	class: 前人  	d: 6  	pt: 1.75  	diff:  前人AB0.875 先驱A0.375 过来人A0.0625 先驱者A0.1875 前任A0.25
  	class: 种类  	d: 12  	pt: 1.7233644859813084  	diff:  项目A0.708411214953271 类别A0.1233644859813084 类型AB0.8616822429906542 种类A0.026168224299065422 品类A0.001869158878504673 花色A0.001869158878504673
  	class: 缺少  	d: 14  	pt: 1.7014925373134329  	diff:  短A0.23880597014925373 缺乏A0.4626865671641791 缺少A0.08955223880597014 缺失AB0.8507462686567164 欠A0.05970149253731343
  	class: 开始  	d: 24  	pt: 1.6521739130434783  	diff:  开头A0.42028985507246375 开A0.34782608695652173 初始AB0.8260869565217391 开端A0.057971014492753624
  	class: 逼近  	d: 8  	pt: 1.6  	diff:  逼A0.6 薄A0.2 逼近AB0.8
  	class: 占有  	d: 8  	pt: 1.536231884057971  	diff:  占A0.4927536231884058 占据A0.2318840579710145 占有A0.043478260869565216 占用AB0.7681159420289855
  	class: 触  	d: 8  	pt: 1.5172413793103448  	diff:  接触A0.6206896551724138 碰A0.034482758620689655 触及AB0.7586206896551724 触发A0.10344827586206896
  	class: 信心  	d: 4  	pt: 1.4545454545454546  	diff:  信心A0.7272727272727273 信念AB0.7272727272727273
  	class: 资本  	d: 12  	pt: 1.4537444933920702  	diff:  资产A0.14977973568281938 成本AB0.7268722466960352 资金A0.1894273127753304 资本A0.1145374449339207 基金A0.27312775330396477
