learn:dsjwz.csv check jqzx.csv:260:学界 | 谷歌大脑提出通过多文档摘要方法生成维基百科，可处理较长序列 	 Result: 	0.15057519531157454 	418 	127



  	class: 子  	d: 3  	pt: 2.0  	diff:  儿子A1.0 小子B1.0
  	class: 简单  	d: 21  	pt: 2.0  	diff:  简单A0.8809523809523809 简短A0.031746031746031744 简要A0.04365079365079365 粗略A0.01984126984126984 省略A0.011904761904761904 简略A0.007936507936507936 简易A0.003968253968253968 精炼B1.0
  	class: 消除  	d: 43  	pt: 1.8400000000000003  	diff:  消除A0.24 排除A0.1 排A0.06 脱A0.1 解A0.32 去掉AB0.92 清除A0.04 破A0.02 消A0.04
  	class: 缺少  	d: 14  	pt: 1.8208955223880596  	diff:  短A0.23880597014925373 缺乏A0.4626865671641791 缺少AB0.9104477611940298 缺失A0.14925373134328357 欠A0.05970149253731343
  	class: 分开  	d: 13  	pt: 1.7600000000000002  	diff:  细分A0.17 划分A0.12 分A0.53 分割AB0.88 分叉A0.02 瓜分A0.04
  	class: 名声  	d: 9  	pt: 1.714285714285714  	diff:  声誉AB0.8571428571428572 名誉A0.14285714285714285 名声A0.14285714285714285 声名A0.2857142857142857 信誉A0.2857142857142857
  	class: 顶用  	d: 19  	pt: 1.6513761467889907  	diff:  有用A0.5963302752293578 有效性A0.07339449541284404 可行AB0.8256880733944953 实用A0.14678899082568808 中用A0.009174311926605505
  	class: 机关  	d: 3  	pt: 1.639344262295082  	diff:  机构A0.5245901639344263 单位AB0.819672131147541 部门A0.29508196721311475
  	class: 有  	d: 28  	pt: 1.6125654450261777  	diff:  拥有A0.6020942408376964 富有A0.031413612565445025 具A0.06806282722513089 具备AB0.806282722513089 持有A0.07853403141361257 负有A0.010471204188481676 存有A0.005235602094240838 享有A0.010471204188481676
  	class: 商店  	d: 24  	pt: 1.6024844720496894  	diff:  公司A0.7540372670807454 商家A0.016149068322981366 商店A0.017391304347826087 企业AB0.8012422360248448 店铺A0.006211180124223602 局A0.006211180124223602 柜A0.0012422360248447205
  	class: 建立  	d: 7  	pt: 1.5637860082304527  	diff:  建立A0.7530864197530864 确立A0.0205761316872428 成立AB0.7818930041152263 树立A0.00823045267489712
  	class: 涉及  	d: 14  	pt: 1.5172413793103445  	diff:  提到AB0.7586206896551724 关系A0.4329501915708812 涉及A0.29118773946360155 关乎A0.01532567049808429 干A0.01532567049808429 事关A0.0038314176245210726
  	class: 符合  	d: 13  	pt: 1.3924050632911393  	diff:  适合A0.5316455696202531 相符A0.02531645569620253 符合AB0.6962025316455696 入A0.06329113924050633 顺应A0.012658227848101266 吻合A0.05063291139240506 契合A0.012658227848101266
  	class: 当做  	d: 9  	pt: 1.3658536585365855  	diff:  当做A0.17073170731707318 当作A0.14634146341463414 看作AB0.2804878048780488 看成AB0.4024390243902439 看做A0.0975609756097561 用作A0.2682926829268293
  	class: 职位  	d: 6  	pt: 1.3561643835616441  	diff:  位置AB0.678082191780822 职位A0.4726027397260274 岗位A0.17123287671232876 职务A0.02054794520547945 职A0.0136986301369863
  	class: 性质  	d: 7  	pt: 1.337748344370861  	diff:  属性AB0.6688741721854304 性能A0.48344370860927155 性质A0.18543046357615894
