learn:dsjwz.csv check jqzx.csv:302:深度 | 可视化分析ICLR 2018：你想要的接收论文情况都在这 	 Result: 	0.19980887481466422 	234 	69



  	class: 追赶  	d: 12  	pt: 2.0  	diff:  追赶A0.2857142857142857 追逐A0.5714285714285714 追A0.14285714285714285 赶超B1.0
  	class: 合计  	d: 11  	pt: 2.0  	diff:  累计A0.5714285714285714 总计A0.42857142857142855 共计B1.0
  	class: 挑选  	d: 26  	pt: 1.9379310344827587  	diff:  选项A0.05517241379310345 选择A0.7965517241379311 选A0.02413793103448276 抉择A0.027586206896551724 挑选AB0.9689655172413794 选取A0.034482758620689655 增选A0.0034482758620689655 甄选A0.006896551724137931 取舍A0.020689655172413793
  	class: 符合  	d: 13  	pt: 1.8734177215189873  	diff:  适合A0.5316455696202531 相符A0.02531645569620253 符合A0.3037974683544304 入AB0.9367088607594937 顺应A0.012658227848101266 吻合A0.05063291139240506 契合A0.012658227848101266
  	class: 种类  	d: 12  	pt: 1.7233644859813084  	diff:  项目A0.708411214953271 类别A0.1233644859813084 类型AB0.8616822429906542 种类A0.026168224299065422 品类A0.001869158878504673 花色A0.001869158878504673
  	class: 宣布  	d: 11  	pt: 1.720338983050847  	diff:  发布A0.7627118644067796 公布AB0.8601694915254238 揭示A0.029661016949152543 颁发A0.029661016949152543 颁布A0.00847457627118644 昭示A0.00847457627118644 宣告A0.012711864406779662 揭晓A0.00847457627118644
  	class: 学校  	d: 9  	pt: 1.6875  	diff:  学校A0.78125 院校AB0.84375 学府A0.0625
  	class: 探究  	d: 8  	pt: 1.5934959349593496  	diff:  深究A0.016260162601626018 探索A0.7804878048780488 探讨AB0.7967479674796748
  	class: 带路  	d: 9  	pt: 1.5555555555555556  	diff:  带领A0.7777777777777778 先导AB0.7777777777777778
  	class: 收  	d: 13  	pt: 1.5135135135135136  	diff:  接到A0.06756756756756757 收到A0.44594594594594594 收纳A0.12162162162162163 接收AB0.7567567567567568 收取A0.06756756756756757 接纳A0.04054054054054054 吸收A0.013513513513513514
  	class: 交  	d: 12  	pt: 1.452991452991453  	diff:  给出A0.5897435897435898 付出A0.06837606837606838 交给A0.02564102564102564 交付A0.042735042735042736 提交AB0.7264957264957265
  	class: 入选  	d: 7  	pt: 1.4285714285714284  	diff:  入选AB0.7142857142857143 当选A0.5714285714285714 选中A0.14285714285714285
  	class: 范围  	d: 6  	pt: 1.4025974025974026  	diff:  层面AB0.7012987012987013 规模A0.6753246753246753 局面A0.025974025974025976
  	class: 高兴  	d: 50  	pt: 1.4  	diff:  喜悦A0.2 欢欣A0.1 快乐A0.4 愉快AB0.7
  	class: 出现  	d: 13  	pt: 1.3333333333333333  	diff:  产出AB0.6666666666666667 出新A0.16666666666666666 并发A0.16666666666666666 面世A0.3333333333333333
  	class: 开始  	d: 24  	pt: 1.3043478260869563  	diff:  开头A0.42028985507246375 开AB0.6521739130434783 初始A0.17391304347826086 开端A0.057971014492753624
  	class: 总数  	d: 3  	pt: 1.28  	diff:  总和A0.44 总额A0.2 总数AB0.64
  	class: 遵守  	d: 9  	pt: 1.2727272727272727  	diff:  遵守A0.5454545454545454 严守A0.09090909090909091 遵从AB0.6363636363636364
