	learn:jqzx.csv check mm.csv:54:外国人不想离开中国的9个瞬间，竟然是因为……     	 Result: 	0.31506134966545607 	404 	130



  	class: 男人  	d: 9  	pt: 2.0  	diff:  男子A1.0 男士B1.0
  	class: 坏  	d: 17  	pt: 2.0  	diff:  鬼A0.2 欠佳A0.2 不良A0.5 糟A0.1 蹩脚B1.0
  	class: 奔泻  	d: 12  	pt: 2.0  	diff:  倾注A1.0 流下B1.0
  	class: 讲话  	d: 18  	pt: 2.0  	diff:  云A0.35119047619047616 讲A0.28273809523809523 说话A0.30654761904761907 讲话A0.020833333333333332 谈A0.03571428571428571 讲讲A0.002976190476190476 开口B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模型A1.0 模子B1.0
  	class: 船  	d: 9  	pt: 2.0  	diff:  船A1.0 艇B1.0
  	class: 阵  	d: 4  	pt: 2.0  	diff:  阵A1.0 阵子B1.0
  	class: 乡村  	d: 12  	pt: 2.0  	diff:  农村A1.0 乡村B1.0
  	class: 下令  	d: 13  	pt: 2.0  	diff:  命令A0.6776859504132231 指令A0.32231404958677684 命B1.0
  	class: 取得  	d: 16  	pt: 2.0  	diff:  获取A0.6480263157894737 取A0.2138157894736842 赢得A0.03289473684210526 获A0.046052631578947366 落A0.009868421052631578 抱A0.01644736842105263 收获A0.023026315789473683 博A0.009868421052631578 拿走B1.0
  	class: 下降  	d: 23  	pt: 2.0  	diff:  降低A0.43896103896103894 下降A0.4727272727272727 降A0.06753246753246753 下滑A0.005194805194805195 下跌A0.01038961038961039 退A0.0025974025974025974 降落A0.0025974025974025974 低落B1.0
  	class: 动火  	d: 24  	pt: 2.0  	diff:  生气A0.2 恼火A0.4 火A0.4 上火B1.0
  	class: 亲密  	d: 37  	pt: 2.0  	diff:  亲爱A0.5 亲密A0.25 亲切A0.25 相亲B1.0
  	class: 喊  	d: 13  	pt: 2.0  	diff:  叫唤A1.0 喊B1.0
  	class: 触动  	d: 13  	pt: 2.0  	diff:  激动A0.6666666666666666 震撼A0.16666666666666666 打动A0.16666666666666666 触景生情B1.0
  	class: 大叫  	d: 11  	pt: 2.0  	diff:  大喊A1.0 惊呼B1.0
  	class: 相遇  	d: 15  	pt: 2.0  	diff:  碰到A0.7222222222222222 碰见A0.05555555555555555 撞A0.05555555555555555 遇见A0.1111111111111111 相遇A0.05555555555555555 遇上B1.0
  	class: 变脸  	d: 4  	pt: 2.0  	diff:  变色A1.0 翻脸B1.0
  	class: 沉迷  	d: 16  	pt: 2.0  	diff:  着迷A0.8333333333333334 痴迷A0.16666666666666666 迷恋B1.0
  	class: 打听  	d: 12  	pt: 2.0  	diff:  询问A0.8636363636363636 打探A0.045454545454545456 垂询A0.045454545454545456 问询A0.045454545454545456 叩问B1.0
  	class: 命名  	d: 5  	pt: 2.0  	diff:  命名A0.9777777777777777 为名A0.022222222222222223 取名B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混进A1.0 混迹B1.0
  	class: 改变  	d: 11  	pt: 1.9935897435897436  	diff:  改变A0.8589743589743589 更改A0.060897435897435896 转A0.0673076923076923 变更A0.003205128205128205 改成A0.00641025641025641 改AB0.9967948717948718
  	class: 集合  	d: 28  	pt: 1.9834024896265559  	diff:  集合A0.6680497925311203 集AB0.991701244813278 聚合A0.2157676348547718 聚拢A0.004149377593360996 聚集A0.05394190871369295 汇聚A0.004149377593360996 集聚A0.012448132780082987 成团A0.004149377593360996 聚A0.012448132780082987 集结A0.004149377593360996 汇A0.012448132780082987
  	class: 采集  	d: 18  	pt: 1.9831932773109244  	diff:  收集A0.6974789915966386 搜集A0.02100840336134454 采集A0.15126050420168066 采访A0.1092436974789916 募集A0.008403361344537815 征集AB0.9915966386554622 采A0.004201680672268907
  	class: 杰出  	d: 36  	pt: 1.9714285714285713  	diff:  典型A0.7642857142857142 超人A0.014285714285714285 杰出A0.19285714285714287 出众AB0.9857142857142858 榜首A0.014285714285714285
  	class: 返回  	d: 7  	pt: 1.9653179190751446  	diff:  回来A0.046242774566473986 回到A0.15606936416184972 返回A0.7803468208092486 回去AB0.9826589595375722
  	class: 希望  	d: 23  	pt: 1.956302521008403  	diff:  希望A0.692436974789916 期望A0.22521008403361345 期待A0.043697478991596636 意在A0.005042016806722689 梦想AB0.9781512605042016 期A0.011764705882352941
  	class: 正确  	d: 18  	pt: 1.9541284403669725  	diff:  不错A0.3256880733944954 科学A0.6009174311926605 不易A0.01834862385321101 没错AB0.9770642201834863 正确性A0.03211009174311927
  	class: 学业  	d: 4  	pt: 1.9333333333333333  	diff:  作业A0.9666666666666667 学业AB0.9666666666666667
  	class: 支付  	d: 6  	pt: 1.9268817204301074  	diff:  开销A0.09247311827956989 开发A0.8688172043010752 支付AB0.9634408602150537 支A0.002150537634408602
  	class: 心情  	d: 8  	pt: 1.9230769230769231  	diff:  情绪A0.7307692307692307 心情AB0.9615384615384616 情怀A0.11538461538461539 心态A0.11538461538461539
  	class: 发生  	d: 8  	pt: 1.9220779220779223  	diff:  发生A0.9545454545454546 发出AB0.961038961038961 时有发生A0.006493506493506494
  	class: 易于  	d: 6  	pt: 1.9142857142857141  	diff:  易A0.35714285714285715 易于A0.5285714285714286 轻A0.07142857142857142 爱AB0.9571428571428572
  	class: 相关  	d: 15  	pt: 1.9087719298245613  	diff:  相关A0.9526315789473684 系AB0.9543859649122807 相干A0.0017543859649122807
