	learn:jqzx.csv check mm.csv:7:气，今天标题不取了，长得帅就有理了？？     	 Result: 	0.31271425034144995 	244 	79



  	class: 母  	d: 10  	pt: 2.0  	diff:  母亲A1.0 妈B1.0
  	class: 协商  	d: 25  	pt: 2.0  	diff:  协议A0.49230769230769234 商A0.046153846153846156 说道A0.4153846153846154 协商A0.03076923076923077 议A0.015384615384615385 情商B1.0
  	class: 好  	d: 49  	pt: 2.0  	diff:  优秀A0.43243243243243246 佳A0.032432432432432434 优异A0.032432432432432434 理想A0.2756756756756757 出色A0.11891891891891893 精彩A0.02702702702702703 漂亮A0.032432432432432434 拔尖A0.005405405405405406 精美A0.005405405405405406 出彩A0.005405405405405406 优A0.032432432432432434 帅B1.0
  	class: 起草  	d: 7  	pt: 2.0  	diff:  起草A0.42857142857142855 拟A0.5714285714285714 草B1.0
  	class: 满怀  	d: 8  	pt: 2.0  	diff:  存A1.0 怀着B1.0
  	class: 减少  	d: 22  	pt: 2.0  	diff:  减少A0.47244094488188976 压缩A0.34908136482939633 减去A0.05774278215223097 缩减A0.03674540682414698 减小A0.07349081364829396 削减A0.007874015748031496 裁减A0.0026246719160104987 抽B1.0
  	class: 战败  	d: 18  	pt: 2.0  	diff:  打败A0.7692307692307693 输A0.23076923076923078 输给B1.0
  	class: 工作  	d: 13  	pt: 2.0  	diff:  事情A0.551980198019802 业务A0.4207920792079208 做事A0.01485148514851485 干活A0.0024752475247524753 事务A0.007425742574257425 行事A0.0024752475247524753 办事B1.0
  	class: 回报  	d: 4  	pt: 2.0  	diff:  回报A1.0 报B1.0
  	class: 复辟  	d: 6  	pt: 2.0  	diff:  颠覆A1.0 变天B1.0
  	class: 不适  	d: 7  	pt: 2.0  	diff:  不适A1.0 不爽B1.0
  	class: 悲惨  	d: 13  	pt: 2.0  	diff:  悲惨A0.14285714285714285 灾难性A0.8571428571428571 惨B1.0
  	class: 发疯  	d: 13  	pt: 2.0  	diff:  疯狂A1.0 疯B1.0
  	class: 悲痛  	d: 22  	pt: 2.0  	diff:  悲壮A1.0 悲愤B1.0
