learn:jqzx.csv check Article12:【清明故事】墓园中的欢笑 	 Result: 	0.2942759239725689 	940 	298



  	class: 子  	d: 3  	pt: 2.0  	diff:  小子A1.0 儿子B1.0
  	class: 老人  	d: 14  	pt: 2.0  	diff:  老年人A0.5 中老年人A0.5 长老B1.0
  	class: 长辈  	d: 6  	pt: 2.0  	diff:  老一辈A1.0 老人B1.0
  	class: 护理  	d: 5  	pt: 2.0  	diff:  护理A0.75 照护A0.25 看护B1.0
  	class: 头领  	d: 15  	pt: 2.0  	diff:  领导人A0.6666666666666666 头儿A0.3333333333333333 头目B1.0
  	class: 逃跑  	d: 23  	pt: 2.0  	diff:  潜A1.0 逃亡B1.0
  	class: 下  	d: 15  	pt: 2.0  	diff:  投放A0.5 排放A0.125 下头A0.125 产A0.25 脚B1.0
  	class: 杰作  	d: 16  	pt: 2.0  	diff:  杰作A0.3333333333333333 名著A0.6666666666666666 大作B1.0
  	class: 无能  	d: 13  	pt: 2.0  	diff:  平庸A0.5 低能A0.5 无能B1.0
  	class: 肮脏  	d: 18  	pt: 2.0  	diff:  脏A1.0 浑浊B1.0
  	class: 底  	d: 8  	pt: 2.0  	diff:  底层A0.9836065573770492 最底层A0.01639344262295082 底色B1.0
  	class: 派别  	d: 10  	pt: 2.0  	diff:  流派A0.14772727272727273 门A0.8522727272727273 派别B1.0
  	class: 显露  	d: 17  	pt: 2.0  	diff:  显A0.4 显露A0.2 露A0.2 表露A0.2 发自B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐藏A0.9818181818181818 掩蔽A0.00909090909090909 隐蔽A0.004545454545454545 隐形A0.004545454545454545 藏匿B1.0
  	class: 名声  	d: 9  	pt: 2.0  	diff:  名誉A0.3333333333333333 信誉A0.16666666666666666 声誉A0.16666666666666666 名气A0.16666666666666666 声望A0.16666666666666666 声B1.0
  	class: 头  	d: 10  	pt: 2.0  	diff:  头部A0.5 脑袋A0.16666666666666666 脑部A0.3333333333333333 头颅B1.0
  	class: 工场  	d: 5  	pt: 2.0  	diff:  工场A1.0 房B1.0
  	class: 驻地  	d: 7  	pt: 2.0  	diff:  基地A1.0 大本营B1.0
  	class: 不料  	d: 22  	pt: 2.0  	diff:  奇怪A0.3469387755102041 意外A0.30612244897959184 想得到A0.04081632653061224 飞A0.30612244897959184 不测B1.0
  	class: 生活  	d: 12  	pt: 2.0  	diff:  光阴A0.5 过日子A0.5 日子B1.0
  	class: 座位  	d: 6  	pt: 2.0  	diff:  座位A1.0 席位B1.0
  	class: 买  	d: 19  	pt: 2.0  	diff:  市A0.06382978723404255 购买A0.6808510638297872 买A0.10638297872340426 置A0.0425531914893617 采购A0.06382978723404255 买入A0.02127659574468085 购入A0.02127659574468085 进货B1.0
  	class: 一再  	d: 23  	pt: 2.0  	diff:  数A0.7518796992481203 频繁A0.10526315789473684 反复A0.14285714285714285 累累B1.0
  	class: 开始  	d: 24  	pt: 2.0  	diff:  开端A0.034782608695652174 开A0.19130434782608696 初始A0.7130434782608696 开头A0.043478260869565216 启幕A0.008695652173913044 启A0.008695652173913044 发端B1.0
