learn:jqzx.csv check Article34:【解局】组建退役军人事务部，传递怎样的明确信号 	 Result: 	0.31191371696052766 	588 	205



  	class: 武器  	d: 15  	pt: 2.0  	diff:  武器A0.8181818181818182 家伙A0.09090909090909091 器械A0.09090909090909091 兵B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 从业员  	d: 4  	pt: 2.0  	diff:  店员A1.0 营业员B1.0
  	class: 雇用  	d: 7  	pt: 2.0  	diff:  雇佣A0.8 雇A0.2 雇用B1.0
  	class: 士兵  	d: 19  	pt: 2.0  	diff:  战士A1.0 士兵B1.0
  	class: 编辑  	d: 18  	pt: 2.0  	diff:  编写A0.7115384615384616 编辑A0.23076923076923078 编写者A0.019230769230769232 修A0.019230769230769232 编排A0.009615384615384616 编者A0.009615384615384616 编制B1.0
  	class: 陪伴  	d: 7  	pt: 2.0  	diff:  伴随A0.8125 伴A0.1875 陪B1.0
  	class: 管保  	d: 16  	pt: 2.0  	diff:  包A0.2809667673716012 确保A0.3081570996978852 保证A0.4078549848942598 保A0.0030211480362537764 担保B1.0
  	class: 端  	d: 5  	pt: 2.0  	diff:  尖头A1.0 末流B1.0
  	class: 粉刷  	d: 6  	pt: 2.0  	diff:  刷A1.0 粉B1.0
  	class: 争吵  	d: 12  	pt: 2.0  	diff:  争吵A1.0 扯皮B1.0
  	class: 住房  	d: 9  	pt: 2.0  	diff:  宅A0.5 住宅A0.5 住房B1.0
  	class: 营房  	d: 5  	pt: 2.0  	diff:  军营A1.0 营盘B1.0
  	class: 从事  	d: 10  	pt: 2.0  	diff:  致力A0.013513513513513514 事A0.918918918918919 从业A0.013513513513513514 业A0.05405405405405406 转业B1.0
  	class: 自动  	d: 9  	pt: 2.0  	diff:  电动A1.0 机关B1.0
  	class: 献  	d: 5  	pt: 2.0  	diff:  贡献A1.0 奉献B1.0
  	class: 称赞  	d: 37  	pt: 2.0  	diff:  赞A0.5555555555555556 称赞A0.2222222222222222 赞赏A0.2222222222222222 褒扬B1.0
  	class: 指导性  	d: 2  	pt: 2.0  	diff:  指导性A1.0 指令性B1.0
  	class: 尺码  	d: 2  	pt: 2.0  	diff:  尺寸A1.0 尺码B1.0
  	class: 尊敬  	d: 11  	pt: 2.0  	diff:  敬意A1.0 尊崇B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  欣慰A1.0 安心B1.0
  	class: 不能  	d: 9  	pt: 2.0  	diff:  未能A0.6666666666666666 无从A0.3333333333333333 得不到B1.0
  	class: 占有  	d: 8  	pt: 2.0  	diff:  占用A0.379746835443038 占A0.43037974683544306 占据A0.17721518987341772 霸占A0.012658227848101266 挤占B1.0
  	class: 折回  	d: 5  	pt: 2.0  	diff:  撤回A1.0 重返B1.0
  	class: 赔偿  	d: 4  	pt: 2.0  	diff:  赔偿A1.0 赔付B1.0
  	class: 就医  	d: 4  	pt: 2.0  	diff:  就医A1.0 看病B1.0
  	class: 分裂  	d: 7  	pt: 2.0  	diff:  分裂A0.5 瓦解A0.5 解体B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 胜负B1.0
