	learn:jqzx.csv check xkd.csv:91:【解局】习近平高度评价周恩来，深意何在？     	 Result: 	0.356143721636089 	563 	182



  	class: 公正  	d: 17  	pt: 2.0  	diff:  公平A0.8275862068965517 持平A0.06896551724137931 公A0.10344827586206896 正义B1.0
  	class: 职员  	d: 6  	pt: 2.0  	diff:  职员A1.0 干部B1.0
  	class: 协商  	d: 25  	pt: 2.0  	diff:  协议A0.49230769230769234 商A0.046153846153846156 说道A0.4153846153846154 协商A0.03076923076923077 议A0.015384615384615385 谋B1.0
  	class: 公  	d: 9  	pt: 2.0  	diff:  官A0.6 集体A0.2 公私A0.1 共用A0.1 公家B1.0
  	class: 健康人  	d: 4  	pt: 2.0  	diff:  正常人A1.0 常人B1.0
  	class: 子孙  	d: 14  	pt: 2.0  	diff:  子代A1.0 后人B1.0
  	class: 代办  	d: 6  	pt: 2.0  	diff:  代理A1.0 代办B1.0
  	class: 勇敢  	d: 51  	pt: 2.0  	diff:  大胆A1.0 勇于B1.0
  	class: 榜样  	d: 10  	pt: 2.0  	diff:  样子A0.2549019607843137 指南A0.6274509803921569 样板A0.0392156862745098 典范A0.0784313725490196 楷模B0.8 榜样B0.2
  	class: 派别  	d: 10  	pt: 2.0  	diff:  流派A0.14772727272727273 门A0.8522727272727273 派别B1.0
  	class: 欺负  	d: 14  	pt: 2.0  	diff:  欺负A0.5 气A0.5 欺侮B1.0
  	class: 实质  	d: 10  	pt: 2.0  	diff:  本质A0.9 实质A0.075 原形A0.0125 面目A0.0125 本色B1.0
  	class: 饭店  	d: 10  	pt: 2.0  	diff:  餐馆A1.0 食堂B1.0
  	class: 节约  	d: 29  	pt: 2.0  	diff:  节能A1.0 节俭B0.5 勤政B0.5
  	class: 会面  	d: 11  	pt: 2.0  	diff:  见面A1.0 相会B1.0
  	class: 乡  	d: 4  	pt: 2.0  	diff:  乡镇A1.0 乡B1.0
  	class: 场所  	d: 7  	pt: 2.0  	diff:  场所A0.6666666666666666 处所A0.3333333333333333 场合B1.0
  	class: 旅馆  	d: 12  	pt: 2.0  	diff:  店A1.0 招待所B1.0
  	class: 安分  	d: 17  	pt: 2.0  	diff:  老实A1.0 规矩B1.0
  	class: 折磨  	d: 5  	pt: 2.0  	diff:  折磨A0.5 折腾A0.5 磨难B1.0
  	class: 全局  	d: 2  	pt: 2.0  	diff:  全局A1.0 大局B1.0
  	class: 描写  	d: 12  	pt: 2.0  	diff:  写A0.8716216216216216 刻画A0.04054054054054054 描绘A0.0472972972972973 形容A0.04054054054054054 写照B1.0
  	class: 称赞  	d: 37  	pt: 2.0  	diff:  赞A0.5555555555555556 称赞A0.2222222222222222 赞赏A0.2222222222222222 赞扬B1.0
  	class: 风格  	d: 5  	pt: 2.0  	diff:  风格A1.0 作风B1.0
  	class: 人格  	d: 5  	pt: 2.0  	diff:  质地A0.09090909090909091 品质A0.9090909090909091 人格B1.0
  	class: 品行  	d: 7  	pt: 2.0  	diff:  品行A1.0 品德B1.0
  	class: 尊敬  	d: 11  	pt: 2.0  	diff:  敬意A1.0 崇敬B1.0
  	class: 探望  	d: 9  	pt: 2.0  	diff:  探访A0.6 省A0.4 看望B1.0
  	class: 习惯  	d: 6  	pt: 2.0  	diff:  习惯A0.7777777777777778 习惯于A0.2222222222222222 习气B1.0
  	class: 对待  	d: 3  	pt: 2.0  	diff:  看待A0.9545454545454546 待遇A0.045454545454545456 相待B1.0
  	class: 富裕  	d: 38  	pt: 2.0  	diff:  宽A0.8666666666666667 极富A0.06666666666666667 丰厚A0.06666666666666667 富裕B1.0
  	class: 深厚  	d: 8  	pt: 2.0  	diff:  浓厚A0.75 深切A0.25 山高水长B1.0
  	class: 团结  	d: 27  	pt: 2.0  	diff:  互联A1.0 团结B1.0
  	class: 心安  	d: 7  	pt: 2.0  	diff:  欣慰A1.0 告慰B1.0
  	class: 照射  	d: 10  	pt: 2.0  	diff:  映射A0.9202453987730062 投A0.03067484662576687 投射A0.049079754601226995 炫耀B1.0
  	class: 承  	d: 5  	pt: 2.0  	diff:  承载A1.0 承接B1.0
  	class: 敬仰  	d: 10  	pt: 2.0  	diff:  心仪A1.0 景仰B1.0
  	class: 检查  	d: 16  	pt: 2.0  	diff:  检视A0.75 验A0.25 视察B1.0
  	class: 缝补  	d: 8  	pt: 2.0  	diff:  修补A1.0 缝缝补补B1.0
  	class: 鼓励  	d: 14  	pt: 2.0  	diff:  鼓励A1.0 勉励B1.0
