	learn:mm.csv check jqzx.csv:13:教程 | 可视化CapsNet，详解Hinton等人提出的胶囊概念与原理     	 Result: 	0.31692117999225144 	415 	167



  	class: 给予  	d: 13  	pt: 2.0  	diff:  给予A1.0 赋予B1.0
  	class: 达到  	d: 10  	pt: 2.0  	diff:  达A1.0 达成B1.0
  	class: 重要  	d: 29  	pt: 2.0  	diff:  关键A0.3157894736842105 重点A0.6842105263157895 重要性B1.0
  	class: 质量  	d: 3  	pt: 2.0  	diff:  质量A1.0 色B1.0
  	class: 减少  	d: 22  	pt: 2.0  	diff:  抽A0.375 减掉A0.25 减少A0.375 减去B0.5 压缩B0.5
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 填  	d: 11  	pt: 2.0  	diff:  填A1.0 填充B1.0
  	class: 船  	d: 9  	pt: 2.0  	diff:  艇A1.0 船B1.0
  	class: 包含  	d: 25  	pt: 2.0  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含A0.16666666666666666 暗含A0.08333333333333333 富含A0.08333333333333333 带有A0.25 隐含A0.08333333333333333 含有B1.0
  	class: 琐事  	d: 11  	pt: 2.0  	diff:  小事A0.6666666666666666 杂事A0.16666666666666666 琐事A0.16666666666666666 小节B1.0
  	class: 改换  	d: 12  	pt: 2.0  	diff:  换A0.3684210526315789 变A0.631578947368421 转换B0.2 变换B0.8
  	class: 有利  	d: 16  	pt: 2.0  	diff:  便宜A1.0 有利于B1.0
  	class: 当做  	d: 9  	pt: 2.0  	diff:  当做A0.3333333333333333 视作A0.3333333333333333 当作A0.3333333333333333 用作B1.0
  	class: 价值  	d: 2  	pt: 2.0  	diff:  价值A1.0 值B1.0
  	class: 取  	d: 4  	pt: 2.0  	diff:  提A1.0 提取B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  开间A1.0 步幅B0.25 步长B0.75
  	class: 遗失  	d: 8  	pt: 2.0  	diff:  掉A0.4482758620689655 不见A0.06896551724137931 少A0.4827586206896552 丢失B1.0
  	class: 抛弃  	d: 27  	pt: 2.0  	diff:  扔A0.19047619047619047 丢A0.5238095238095238 抛弃A0.19047619047619047 丢掉A0.09523809523809523 丢弃B1.0
  	class: 任意  	d: 17  	pt: 2.0  	diff:  自由A0.5454545454545454 轻易A0.36363636363636365 任性A0.09090909090909091 任意B1.0
  	class: 增多  	d: 14  	pt: 2.0  	diff:  搭A1.0 增加B1.0
  	class: 无用  	d: 15  	pt: 2.0  	diff:  不算A0.2727272727272727 没用A0.5454545454545454 无效A0.18181818181818182 低效B1.0
  	class: 解脱  	d: 8  	pt: 2.0  	diff:  开脱A1.0 摆脱B1.0
  	class: 访问  	d: 10  	pt: 2.0  	diff:  拜访A1.0 访问B1.0
  	class: 改进  	d: 6  	pt: 2.0  	diff:  改善A1.0 改进B1.0
  	class: 恢复  	d: 18  	pt: 2.0  	diff:  恢复A0.1875 还原A0.25 回复A0.5 回升A0.0625 复原B1.0
  	class: 重视  	d: 28  	pt: 1.9999999999999998  	diff:  尊重A0.5384615384615384 珍惜A0.23076923076923078 推崇A0.07692307692307693 看重A0.07692307692307693 珍视A0.07692307692307693 器B1.0
  	class: 寻找  	d: 23  	pt: 1.9423076923076923  	diff:  找A0.9134615384615384 摸A0.038461538461538464 搜索A0.019230769230769232 寻找AB0.9711538461538461
  	class: 种类  	d: 12  	pt: 1.8823529411764706  	diff:  类型AB0.1411764705882353 项目A0.8823529411764706 花色A0.058823529411764705 种类B0.4 类别B0.4
  	class: 答应  	d: 10  	pt: 1.8666666666666667  	diff:  答应A0.8666666666666667 承诺A0.06666666666666667 应AB0.9333333333333333
  	class: 看  	d: 22  	pt: 1.8571428571428572  	diff:  见到A0.7857142857142857 观看AB0.9285714285714286 收看A0.14285714285714285
