	learn:mm.csv check jqzx.csv:154:活动 | 欢迎报名参加TalkingData全球广告反欺诈算法大赛     	 Result: 	0.3263843251840072 	198 	85



  	class: 人数  	d: 8  	pt: 2.0  	diff:  口A1.0 人数B1.0
  	class: 父  	d: 15  	pt: 2.0  	diff:  老子A0.30434782608695654 爸A0.45652173913043476 爸爸A0.2391304347826087 父B1.0
  	class: 共同  	d: 31  	pt: 2.0  	diff:  合伙A0.5 协同A0.5 联合B1.0
  	class: 下  	d: 15  	pt: 2.0  	diff:  脚A1.0 投放B1.0
  	class: 命运  	d: 11  	pt: 2.0  	diff:  命运A0.4375 运气A0.5 天数A0.0625 天机B1.0
  	class: 答  	d: 14  	pt: 2.0  	diff:  回答A0.8666666666666667 答对A0.03333333333333333 回应A0.06666666666666667 应对A0.03333333333333333 答疑B0.5 解惑B0.5
  	class: 加快  	d: 7  	pt: 2.0  	diff:  加速A1.0 增速B1.0
  	class: 增强  	d: 9  	pt: 2.0  	diff:  提高A0.5 增高A0.5 增长B1.0
  	class: 涨  	d: 6  	pt: 2.0  	diff:  涨A1.0 上涨B1.0
  	class: 遮盖  	d: 15  	pt: 1.9999999999999998  	diff:  掩盖A0.14285714285714285 遮住A0.5714285714285714 埋A0.14285714285714285 覆盖A0.14285714285714285 掩B1.0
  	class: 寻找  	d: 23  	pt: 1.9615384615384612  	diff:  找A0.9134615384615384 摸A0.038461538461538464 搜索AB0.9807692307692307 寻找A0.028846153846153848
  	class: 增长  	d: 6  	pt: 1.92  	diff:  添加AB0.96 长A0.96
  	class: 告诉  	d: 7  	pt: 1.8360655737704918  	diff:  告诉A0.9180327868852459 报告AB0.9180327868852459
  	class: 符合  	d: 13  	pt: 1.8181818181818183  	diff:  适合A0.8181818181818182 符合A0.09090909090909091 入AB0.9090909090909091
  	class: 吸引  	d: 8  	pt: 1.8  	diff:  引发AB0.9 吸引A0.4 抓住A0.5
  	class: 结束  	d: 38  	pt: 1.7037037037037037  	diff:  完A0.6049382716049383 结束AB0.8518518518518519 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 显示  	d: 12  	pt: 1.65  	diff:  展示AB0.4 显示AB0.425 显得A0.775 亮A0.025 来得A0.025
  	class: 放大  	d: 8  	pt: 1.6363636363636362  	diff:  放大A0.3181818181818182 放A0.45454545454545453 推广AB0.8181818181818181 加大A0.045454545454545456
