	learn:mm.csv check jqzx.csv:165:学界 | 南京大学宣布成立人工智能学院     	 Result: 	0.46821724743061144 	129 	58



  	class: 医治  	d: 10  	pt: 2.0  	diff:  治疗A0.5 治A0.5 医疗B1.0
  	class: 符合  	d: 13  	pt: 2.0  	diff:  适合A0.8181818181818182 符合A0.09090909090909091 入A0.09090909090909091 顺应B1.0
  	class: 驻地  	d: 7  	pt: 2.0  	diff:  大本营A1.0 基地B1.0
  	class: 种类  	d: 12  	pt: 2.0  	diff:  类型A0.058823529411764705 项目A0.8823529411764706 花色A0.058823529411764705 类别B1.0
  	class: 家产  	d: 10  	pt: 2.0  	diff:  家当A1.0 产业B1.0
  	class: 范围  	d: 6  	pt: 2.0  	diff:  局面A0.16666666666666666 圈圈A0.8333333333333334 层面B1.0
  	class: 意义  	d: 2  	pt: 2.0  	diff:  意义A1.0 含义B1.0
  	class: 计划  	d: 14  	pt: 2.0  	diff:  计划A1.0 规划B1.0
  	class: 学科  	d: 4  	pt: 2.0  	diff:  课程A0.8571428571428571 科目A0.07142857142857142 教程A0.07142857142857142 学科B1.0
  	class: 合并  	d: 24  	pt: 2.0  	diff:  拼A1.0 集成B1.0
  	class: 学校  	d: 9  	pt: 2.0  	diff:  学校A1.0 院校B1.0
  	class: 管辖  	d: 9  	pt: 2.0  	diff:  部A1.0 总理B1.0
  	class: 诊断  	d: 2  	pt: 2.0  	diff:  确诊A1.0 诊断B1.0
  	class: 隶属  	d: 8  	pt: 2.0  	diff:  专属A1.0 直属B1.0
  	class: 列为  	d: 3  	pt: 2.0  	diff:  列为A1.0 名列B1.0
  	class: 增强  	d: 9  	pt: 2.0  	diff:  提高A0.5 增高A0.5 增强B1.0
  	class: 寻找  	d: 23  	pt: 1.9615384615384612  	diff:  找A0.9134615384615384 摸A0.038461538461538464 搜索AB0.9807692307692307 寻找A0.028846153846153848
  	class: 告诉  	d: 7  	pt: 1.8360655737704918  	diff:  告诉A0.9180327868852459 报告AB0.9180327868852459
  	class: 性格  	d: 12  	pt: 1.7333333333333334  	diff:  性格A0.3333333333333333 人性A0.5333333333333333 性AB0.8666666666666667
  	class: 头等  	d: 11  	pt: 1.6666666666666665  	diff:  顶级A0.6666666666666666 世界级A0.16666666666666666 一流AB0.8333333333333334
  	class: 领导  	d: 14  	pt: 1.5  	diff:  负责人AB0.75 领导A0.5 领导者A0.25
  	class: 宣布  	d: 11  	pt: 1.5  	diff:  公布A0.25 发布AB0.75 揭晓A0.5
  	class: 内心  	d: 28  	pt: 1.4814814814814814  	diff:  内心A0.6666666666666666 心AB0.7407407407407407 心目A0.037037037037037035 胸A0.037037037037037035
  	class: 了解  	d: 29  	pt: 1.4074074074074074  	diff:  懂A0.5555555555555556 理解AB0.7037037037037037 懂得A0.1111111111111111 了了A0.037037037037037035
  	class: 示范  	d: 8  	pt: 1.3333333333333335  	diff:  示范A0.6666666666666666 示例AB0.6666666666666667
  	class: 通知  	d: 10  	pt: 1.3333333333333335  	diff:  打招呼A0.6666666666666666 通知AB0.6666666666666667
  	class: 兴趣  	d: 4  	pt: 1.25  	diff:  兴趣AB0.625 感兴趣A0.625
  	class: 技术  	d: 8  	pt: 1.2000000000000002  	diff:  技能A0.2 技术AB0.6 技巧A0.4
  	class: 制造  	d: 6  	pt: 1.2  	diff:  制造A0.6 打造AB0.6
  	class: 挖  	d: 18  	pt: 1.0  	diff:  挖掘AB0.5 挖A0.5
  	class: 建立  	d: 7  	pt: 1.0  	diff:  建立A0.5 成立AB0.5
  	class: 讲课  	d: 13  	pt: 0.9230769230769231  	diff:  上课A0.38461538461538464 教授AB0.46153846153846156 教书A0.07692307692307693
  	class: 辩论  	d: 23  	pt: 0.7272727272727273  	diff:  反驳A0.09090909090909091 答辩A0.18181818181818182 理论AB0.36363636363636365 辩论A0.09090909090909091
  	class: 音信  	d: 7  	pt: 0.6956521739130435  	diff:  消息A0.34782608695652173 信息AB0.34782608695652173
  	class: 领域  	d: 5  	pt: 0.6666666666666667  	diff:  领域AB0.33333333333333337 圈子A0.3333333333333333
  	class: 世界  	d: 18  	pt: 0.6666666666666667  	diff:  全球AB0.33333333333333337 全世界A0.3333333333333333
  	class: 机关  	d: 3  	pt: 0.5714285714285714  	diff:  机构A0.2857142857142857 部门AB0.2857142857142857
  	class: 高等学校  	d: 3  	pt: 0.5714285714285714  	diff:  高校AB0.2857142857142857 大学AB0.2857142857142857
  	class: 排行  	d: 4  	pt: 0.5  	diff:  排名AB0.25 排名榜A0.25
  	class: 团体  	d: 6  	pt: 0.48  	diff:  团队AB0.24 组织A0.2 团伙A0.04
  	class: 学习  	d: 10  	pt: 0.4186046511627907  	diff:  学习AB0.2093023255813954 就学A0.023255813953488372 上学A0.16279069767441862 攻A0.023255813953488372
  	class: 内容  	d: 5  	pt: 0.39999999999999997  	diff:  情节A0.2 内容AB0.19999999999999996
  	class: 消息  	d: 6  	pt: 0.22222222222222227  	diff:  新闻AB0.11111111111111116 资讯A0.1111111111111111
  	class: 包括  	d: 9  	pt: 0.1538461538461538  	diff:  包括AB0.07692307692307687 概括A0.07692307692307693
