	learn:mm.csv check jqzx.csv:209:深度 | 让机器思考与互相理解：DeepMind提出机器心智理论神经网络ToMnet     	 Result: 	0.37275758319850166 	393 	158



  	class: 前人  	d: 6  	pt: 2.0  	diff:  前任A0.8888888888888888 过来人A0.1111111111111111 前人B1.0
  	class: 管保  	d: 16  	pt: 2.0  	diff:  包A0.5416666666666666 保证A0.2916666666666667 保A0.125 打包票A0.041666666666666664 确保B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体制A1.0 体B1.0
  	class: 触  	d: 8  	pt: 2.0  	diff:  接触A0.5384615384615384 触A0.15384615384615385 碰A0.3076923076923077 触及B1.0
  	class: 长  	d: 4  	pt: 2.0  	diff:  条A1.0 长条B1.0
  	class: 顶点  	d: 9  	pt: 2.0  	diff:  极限A0.5 巅峰A0.5 终极B1.0
  	class: 阐明  	d: 8  	pt: 2.0  	diff:  发明A0.5 表A0.5 阐明B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐形A0.3333333333333333 躲A0.6666666666666666 隐藏B1.0
  	class: 噪音  	d: 2  	pt: 2.0  	diff:  噪音A1.0 噪声B1.0
  	class: 建筑  	d: 15  	pt: 2.0  	diff:  建A0.5 建筑A0.25 建筑物A0.25 建造B1.0
  	class: 额  	d: 9  	pt: 2.0  	diff:  额A0.5 脑门A0.25 额头A0.25 前额B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 回  	d: 5  	pt: 2.0  	diff:  区块A1.0 章节B1.0
  	class: 起源  	d: 12  	pt: 2.0  	diff:  来源A0.5 根源A0.25 来源于A0.25 起源B1.0
  	class: 集合  	d: 28  	pt: 2.0  	diff:  凑合A0.625 集A0.125 会合A0.125 凑A0.125 集合B1.0
  	class: 信仰  	d: 10  	pt: 2.0  	diff:  信A0.75 迷信A0.25 信仰B1.0
  	class: 赞成  	d: 4  	pt: 2.0  	diff:  赞同A1.0 倾向B1.0
  	class: 意图  	d: 6  	pt: 2.0  	diff:  作用A1.0 意图B1.0
  	class: 系统  	d: 2  	pt: 2.0  	diff:  体系A1.0 系统B1.0
  	class: 见解  	d: 8  	pt: 2.0  	diff:  视角A0.3333333333333333 看法A0.3333333333333333 意见A0.16666666666666666 理念A0.16666666666666666 观点B1.0
  	class: 互相  	d: 11  	pt: 2.0  	diff:  相A1.0 交互B1.0
  	class: 缺少  	d: 14  	pt: 2.0  	diff:  欠A0.3076923076923077 缺A0.15384615384615385 短A0.46153846153846156 缺少A0.07692307692307693 缺失B1.0
  	class: 忧虑  	d: 7  	pt: 2.0  	diff:  焦虑A1.0 担忧B1.0
  	class: 逼近  	d: 8  	pt: 2.0  	diff:  逼A0.9591836734693877 薄A0.04081632653061224 逼近B1.0
  	class: 空洞  	d: 26  	pt: 2.0  	diff:  空虚A1.0 抽象B1.0
  	class: 放  	d: 11  	pt: 2.0  	diff:  放到A0.7142857142857143 前置A0.2857142857142857 嵌入B1.0
  	class: 访问  	d: 10  	pt: 2.0  	diff:  拜访A1.0 访问B1.0
  	class: 推测  	d: 16  	pt: 2.0  	diff:  想来A1.0 推断B1.0
  	class: 占有  	d: 8  	pt: 2.0  	diff:  霸占A0.3333333333333333 占据A0.3333333333333333 占A0.3333333333333333 占用B1.0
  	class: 表达  	d: 5  	pt: 2.0  	diff:  表达A0.95 发挥A0.05 表述B1.0
  	class: 转车  	d: 14  	pt: 2.0  	diff:  转发A0.7272727272727273 转账A0.09090909090909091 转正A0.18181818181818182 转化B1.0
  	class: 加剧  	d: 10  	pt: 2.0  	diff:  加重A1.0 强化B1.0
  	class: 寻找  	d: 23  	pt: 1.9615384615384615  	diff:  找A0.9134615384615384 摸A0.038461538461538464 搜索AB0.4807692307692308 寻找A0.028846153846153848 追寻B0.5
  	class: 开始  	d: 24  	pt: 1.9473684210526314  	diff:  开A0.7368421052631579 开头A0.23684210526315788 初始AB0.9736842105263158
  	class: 模仿  	d: 27  	pt: 1.9230769230769231  	diff:  学A0.9230769230769231 模拟AB0.6282051282051282 套A0.038461538461538464 模仿B0.3333333333333333
  	class: 激发  	d: 10  	pt: 1.8947368421052633  	diff:  抖A0.42105263157894735 激发A0.05263157894736842 刺激A0.47368421052631576 激励AB0.9473684210526316
  	class: 种类  	d: 12  	pt: 1.8823529411764706  	diff:  类型AB0.9411764705882353 项目A0.8823529411764706 花色A0.058823529411764705
  	class: 看  	d: 22  	pt: 1.8571428571428572  	diff:  见到A0.7857142857142857 观看AB0.9285714285714286 收看A0.14285714285714285
  	class: 下降  	d: 23  	pt: 1.857142857142857  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑A0.21428571428571427 低落A0.07142857142857142 下降A0.21428571428571427 降低AB0.9285714285714286 降A0.07142857142857142
  	class: 采集  	d: 18  	pt: 1.8235294117647058  	diff:  收集AB0.9117647058823529 征集A0.4117647058823529 采访A0.5
  	class: 显示  	d: 12  	pt: 1.7999999999999998  	diff:  展示AB0.9 显示A0.075 显得A0.775 亮A0.025 来得A0.025
  	class: 杰出  	d: 36  	pt: 1.7142857142857142  	diff:  典型AB0.8571428571428572 超人A0.7857142857142857 出众A0.07142857142857142
  	class: 结束  	d: 38  	pt: 1.7037037037037037  	diff:  完A0.6049382716049383 结束AB0.8518518518518519 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
