	learn:mm.csv check jqzx.csv:262:从语义上理解卷积核行为，UCLA朱松纯等人使用决策树量化解释CNN     	 Result: 	0.38825540274491654 	303 	115



  	class: 分  	d: 11  	pt: 2.0  	diff:  分层A1.0 分段B1.0
  	class: 管保  	d: 16  	pt: 2.0  	diff:  包A0.5416666666666666 保证A0.2916666666666667 保A0.125 打包票A0.041666666666666664 确保B1.0
  	class: 完整  	d: 10  	pt: 2.0  	diff:  完整A0.75 共同体A0.25 整体B1.0
  	class: 顶点  	d: 9  	pt: 2.0  	diff:  极限A0.5 巅峰A0.5 终端B1.0
  	class: 恰巧  	d: 21  	pt: 2.0  	diff:  巧A0.5 正好A0.5 正B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐形A0.3333333333333333 躲A0.6666666666666666 隐藏B1.0
  	class: 培养  	d: 11  	pt: 2.0  	diff:  培养A1.0 树B1.0
  	class: 标注  	d: 4  	pt: 2.0  	diff:  标A1.0 标注B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 种类  	d: 12  	pt: 2.0  	diff:  类型A0.058823529411764705 项目A0.8823529411764706 花色A0.058823529411764705 类别B1.0
  	class: 回  	d: 5  	pt: 2.0  	diff:  区块A1.0 章节B1.0
  	class: 实行  	d: 11  	pt: 2.0  	diff:  行A0.8333333333333334 执行A0.16666666666666666 实践B1.0
  	class: 集合  	d: 28  	pt: 2.0  	diff:  凑合A0.625 集A0.125 会合A0.125 凑A0.125 集合B1.0
  	class: 一再  	d: 23  	pt: 2.0  	diff:  反复A0.625 勤A0.25 频繁A0.125 数B1.0
  	class: 范围  	d: 6  	pt: 2.0  	diff:  局面A0.16666666666666666 圈圈A0.8333333333333334 层面B1.0
  	class: 意义  	d: 2  	pt: 2.0  	diff:  意义A1.0 含义B1.0
  	class: 思考  	d: 20  	pt: 2.0  	diff:  想想A0.3829787234042553 思维A0.2765957446808511 思考A0.2765957446808511 心想A0.06382978723404255 思想B1.0
  	class: 竭力  	d: 31  	pt: 2.0  	diff:  拼命A0.4444444444444444 用力A0.4444444444444444 使劲A0.1111111111111111 力图B1.0
  	class: 价值  	d: 2  	pt: 2.0  	diff:  价值A1.0 值B1.0
  	class: 取  	d: 4  	pt: 2.0  	diff:  提A1.0 提取B1.0
  	class: 合并  	d: 24  	pt: 2.0  	diff:  拼A1.0 合并B1.0
  	class: 顶用  	d: 19  	pt: 2.0  	diff:  有用A0.42857142857142855 实用A0.42857142857142855 可行A0.14285714285714285 有效性B1.0
  	class: 准确  	d: 6  	pt: 2.0  	diff:  精确A1.0 准确B1.0
  	class: 推动  	d: 12  	pt: 2.0  	diff:  推A0.625 推进A0.375 推向B1.0
  	class: 推测  	d: 16  	pt: 2.0  	diff:  想来A1.0 推断B1.0
  	class: 加以  	d: 2  	pt: 2.0  	diff:  加A1.0 给定B1.0
  	class: 开始  	d: 24  	pt: 1.9473684210526314  	diff:  开A0.7368421052631579 开头A0.23684210526315788 初始AB0.9736842105263158
  	class: 记得  	d: 3  	pt: 1.925925925925926  	diff:  记得A0.9629629629629629 记忆AB0.962962962962963
  	class: 使得  	d: 5  	pt: 1.92  	diff:  教A0.96 令AB0.96
  	class: 增长  	d: 6  	pt: 1.92  	diff:  添加AB0.96 长A0.96
  	class: 表达  	d: 5  	pt: 1.9  	diff:  表达A0.95 发挥AB0.95
  	class: 粗暴  	d: 14  	pt: 1.894736842105263  	diff:  强行A0.7368421052631579 粗暴A0.15789473684210525 野AB0.9473684210526316 粗鲁A0.05263157894736842
  	class: 下降  	d: 23  	pt: 1.857142857142857  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑A0.21428571428571427 低落A0.07142857142857142 下降A0.21428571428571427 降低AB0.9285714285714286 降A0.07142857142857142
