	learn:mm.csv check jqzx.csv:288:教程 | 使用Gym和CNN构建多智能体自动驾驶马里奥赛车     	 Result: 	0.34507299164527944 	415 	170



  	class: 驾驶  	d: 3  	pt: 2.0  	diff:  驾驭A0.5 驾A0.5 驾驶B1.0
  	class: 驾驶员  	d: 7  	pt: 2.0  	diff:  司机A1.0 驾驶员B1.0
  	class: 体裁  	d: 4  	pt: 2.0  	diff:  体制A1.0 体B1.0
  	class: 触  	d: 8  	pt: 2.0  	diff:  接触A0.5384615384615384 触A0.15384615384615385 碰A0.3076923076923077 触发B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 赛车  	d: 2  	pt: 2.0  	diff:  跑车A1.0 赛车B1.0
  	class: 剧本  	d: 5  	pt: 2.0  	diff:  剧本A1.0 脚本B1.0
  	class: 铺设  	d: 6  	pt: 2.0  	diff:  铺A1.0 铺砌B1.0
  	class: 途径  	d: 10  	pt: 2.0  	diff:  路子A1.0 路径B1.0
  	class: 范围  	d: 6  	pt: 2.0  	diff:  局面A0.16666666666666666 圈圈A0.8333333333333334 规模B1.0
  	class: 标准  	d: 12  	pt: 2.0  	diff:  条件A0.5384615384615384 原则A0.46153846153846156 基准B1.0
  	class: 系统  	d: 2  	pt: 2.0  	diff:  体系A1.0 系统B1.0
  	class: 思考  	d: 20  	pt: 2.0  	diff:  想想A0.3829787234042553 思维A0.2765957446808511 思考A0.2765957446808511 心想A0.06382978723404255 思想B1.0
  	class: 互相  	d: 11  	pt: 2.0  	diff:  相A1.0 交互B0.8333333333333334 并行B0.16666666666666666
  	class: 相距  	d: 7  	pt: 2.0  	diff:  离开A0.7222222222222222 距离A0.2222222222222222 相差A0.05555555555555555 偏离B1.0
  	class: 计划  	d: 14  	pt: 2.0  	diff:  计划A1.0 规划B1.0
  	class: 当做  	d: 9  	pt: 2.0  	diff:  当做A0.3333333333333333 视作A0.3333333333333333 当作A0.3333333333333333 看做B0.5 用作B0.5
  	class: 价值  	d: 2  	pt: 2.0  	diff:  价值A1.0 值B1.0
  	class: 结论  	d: 5  	pt: 2.0  	diff:  定论A1.0 结论B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  开间A1.0 步长B1.0
  	class: 重叠  	d: 7  	pt: 2.0  	diff:  臃肿A1.0 层B1.0
  	class: 冷却  	d: 5  	pt: 2.0  	diff:  冷A0.875 凉A0.125 冷却B1.0
  	class: 任意  	d: 17  	pt: 2.0  	diff:  自由A0.5454545454545454 轻易A0.36363636363636365 任性A0.09090909090909091 任意B1.0
  	class: 准确  	d: 6  	pt: 2.0  	diff:  精确A1.0 准确B1.0
  	class: 照射  	d: 10  	pt: 2.0  	diff:  投射A0.038461538461538464 炫耀A0.6923076923076923 投A0.23076923076923078 照射A0.038461538461538464 映射B1.0
  	class: 创立  	d: 11  	pt: 2.0  	diff:  创造A0.8333333333333334 创A0.08333333333333333 创立A0.08333333333333333 创建B1.0
  	class: 交  	d: 12  	pt: 2.0  	diff:  付出A0.7619047619047619 给出A0.09523809523809523 交给A0.14285714285714285 提交B1.0
  	class: 保存  	d: 3  	pt: 2.0  	diff:  保留A1.0 保存B1.0
  	class: 转车  	d: 14  	pt: 2.0  	diff:  转发A0.7272727272727273 转账A0.09090909090909091 转正A0.18181818181818182 转向B1.0
  	class: 加剧  	d: 10  	pt: 2.0  	diff:  加重A1.0 强化B1.0
  	class: 重视  	d: 28  	pt: 1.9999999999999998  	diff:  尊重A0.5384615384615384 珍惜A0.23076923076923078 推崇A0.07692307692307693 看重A0.07692307692307693 珍视A0.07692307692307693 器B1.0
  	class: 怀念  	d: 21  	pt: 1.994949494949495  	diff:  想A0.9949494949494949 纪念AB0.9974747474747475 想念A0.0025252525252525255
  	class: 返回  	d: 7  	pt: 1.9682539682539684  	diff:  回来A0.4444444444444444 回去A0.31746031746031744 回到A0.2222222222222222 返回AB0.9841269841269842
  	class: 涉及  	d: 14  	pt: 1.9636363636363634  	diff:  关系A0.509090909090909 干A0.2909090909090909 提到A0.18181818181818182 涉及AB0.9818181818181818
  	class: 开始  	d: 24  	pt: 1.9473684210526314  	diff:  开A0.7368421052631579 开头A0.23684210526315788 初始AB0.9736842105263158
  	class: 希望  	d: 23  	pt: 1.9393939393939394  	diff:  梦想A0.21212121212121213 希望A0.5757575757575758 期待A0.06060606060606061 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望AB0.9696969696969697 指望A0.015151515151515152
  	class: 模仿  	d: 27  	pt: 1.9230769230769231  	diff:  学A0.9230769230769231 模拟AB0.9615384615384616 套A0.038461538461538464
  	class: 取得  	d: 16  	pt: 1.7647058823529411  	diff:  抱A0.5294117647058824 赢得AB0.6078431372549019 收获A0.058823529411764705 取A0.058823529411764705 获取AB0.2745098039215686 博A0.11764705882352941 落A0.058823529411764705 拿走A0.0392156862745098 沾A0.0196078431372549
  	class: 一连  	d: 16  	pt: 1.75  	diff:  连续A0.875 连接AB0.875
  	class: 水平  	d: 5  	pt: 1.7333333333333332  	diff:  程度A0.6666666666666666 水平AB0.8666666666666667 品位A0.2
  	class: 超越  	d: 9  	pt: 1.7209302325581395  	diff:  超A0.627906976744186 跳A0.20930232558139536 超越AB0.5968992248062015 跨越A0.023255813953488372 超过AB0.2635658914728682
  	class: 结束  	d: 38  	pt: 1.7037037037037037  	diff:  完A0.6049382716049383 结束AB0.8518518518518519 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 本来  	d: 12  	pt: 1.6666666666666667  	diff:  原A0.16666666666666666 原本A0.16666666666666666 土生土长A0.16666666666666666 原始AB0.8333333333333334 旧A0.3333333333333333
  	class: 实行  	d: 11  	pt: 1.6666666666666667  	diff:  行A0.8333333333333334 执行AB0.8333333333333334
  	class: 包含  	d: 25  	pt: 1.6666666666666665  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含AB0.5833333333333334 暗含A0.08333333333333333 富含A0.08333333333333333 带有A0.25 隐含A0.08333333333333333 含有B0.25
  	class: 坚强  	d: 30  	pt: 1.6  	diff:  硬AB0.8 坚强A0.8
