	learn:mm.csv check jqzx.csv:322:专栏 | 后RCNN时代的物体检测及实例分割进展     	 Result: 	0.33483249266951465 	202 	82



  	class: 分  	d: 11  	pt: 2.0  	diff:  分层A1.0 分支B1.0
  	class: 见识  	d: 10  	pt: 2.0  	diff:  见识A0.9166666666666666 见闻A0.08333333333333333 眼界B1.0
  	class: 共同  	d: 31  	pt: 2.0  	diff:  合伙A0.5 协同A0.5 联手B1.0
  	class: 中心  	d: 11  	pt: 2.0  	diff:  核心A0.4 中心A0.5 为重A0.1 主干B1.0
  	class: 标注  	d: 4  	pt: 2.0  	diff:  标A1.0 标注B1.0
  	class: 依靠  	d: 32  	pt: 2.0  	diff:  负A0.14285714285714285 指A0.42857142857142855 赖A0.42857142857142855 借助B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 系统  	d: 2  	pt: 2.0  	diff:  体系A1.0 系统B1.0
  	class: 分开  	d: 13  	pt: 2.0  	diff:  分A0.9285714285714286 细分A0.07142857142857142 分割B1.0
  	class: 重叠  	d: 7  	pt: 2.0  	diff:  臃肿A1.0 重叠B1.0
  	class: 弱小  	d: 15  	pt: 2.0  	diff:  柔弱A0.6666666666666666 弱小A0.3333333333333333 微弱B1.0
  	class: 稀少  	d: 27  	pt: 2.0  	diff:  稀缺A0.14814814814814814 层层A0.037037037037037035 罕见A0.8148148148148148 少有B1.0
  	class: 移动  	d: 12  	pt: 2.0  	diff:  走A0.9833333333333333 挪动A0.016666666666666666 位移B1.0
  	class: 超过  	d: 10  	pt: 2.0  	diff:  超出A1.0 高于B1.0
  	class: 改进  	d: 6  	pt: 2.0  	diff:  改善A1.0 改进B1.0
  	class: 攻占  	d: 14  	pt: 2.0  	diff:  拿下A0.5 攻破A0.5 攻占B1.0
  	class: 能力  	d: 3  	pt: 1.9384615384615387  	diff:  力A0.2 能力A0.7692307692307693 力量AB0.9692307692307692
  	class: 取得  	d: 16  	pt: 1.8823529411764706  	diff:  抱A0.5294117647058824 赢得A0.058823529411764705 收获AB0.9411764705882353 取A0.058823529411764705 获取A0.058823529411764705 博A0.11764705882352941 落A0.058823529411764705 拿走A0.0392156862745098 沾A0.0196078431372549
  	class: 超越  	d: 9  	pt: 1.86046511627907  	diff:  超A0.627906976744186 跳A0.20930232558139536 超越A0.06976744186046512 跨越A0.023255813953488372 超过AB0.9302325581395349
  	class: 下降  	d: 23  	pt: 1.857142857142857  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑A0.21428571428571427 低落A0.07142857142857142 下降A0.21428571428571427 降低AB0.9285714285714286 降A0.07142857142857142
  	class: 显示  	d: 12  	pt: 1.85  	diff:  展示A0.1 显示AB0.925 显得A0.775 亮A0.025 来得A0.025
  	class: 景象  	d: 10  	pt: 1.8181818181818181  	diff:  场景A0.7272727272727273 情景A0.09090909090909091 现象AB0.9090909090909091 状况A0.09090909090909091
  	class: 终于  	d: 11  	pt: 1.6923076923076923  	diff:  算A0.7692307692307693 算是AB0.8461538461538461 总算A0.07692307692307693
  	class: 区分  	d: 7  	pt: 1.6666666666666667  	diff:  区别A0.8333333333333334 区分AB0.8333333333333334
  	class: 近似  	d: 17  	pt: 1.6571428571428568  	diff:  看似A0.05714285714285714 接近A0.2857142857142857 类似AB0.8285714285714285 好像A0.4 像样A0.05714285714285714 相仿A0.02857142857142857
  	class: 内心  	d: 28  	pt: 1.4814814814814814  	diff:  内心A0.6666666666666666 心AB0.7407407407407407 心目A0.037037037037037035 胸A0.037037037037037035
  	class: 思考  	d: 20  	pt: 1.4468085106382977  	diff:  想想A0.3829787234042553 思维AB0.7234042553191489 思考A0.2765957446808511 心想A0.06382978723404255
