	learn:mm.csv check jqzx.csv:327:业界 | 谷歌正式发布TensorFlow 1point5：终于支持CUDA 9和cuDNN 7     	 Result: 	0.4022338141763949 	206 	81



  	class: 协商  	d: 25  	pt: 2.0  	diff:  情商A1.0 协议B1.0
  	class: 管保  	d: 16  	pt: 2.0  	diff:  包A0.5416666666666666 保证A0.2916666666666667 保A0.125 打包票A0.041666666666666664 确保B1.0
  	class: 依靠  	d: 32  	pt: 2.0  	diff:  负A0.14285714285714285 指A0.42857142857142855 赖A0.42857142857142855 依赖B1.0
  	class: 桥  	d: 4  	pt: 2.0  	diff:  桥梁A1.0 桥B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 节省  	d: 7  	pt: 2.0  	diff:  节约A1.0 节省B1.0
  	class: 地方  	d: 5  	pt: 2.0  	diff:  地带A1.0 域B1.0
  	class: 集合  	d: 28  	pt: 2.0  	diff:  凑合A0.625 集A0.125 会合A0.125 凑A0.125 集合B1.0
  	class: 改换  	d: 12  	pt: 2.0  	diff:  换A0.3684210526315789 变A0.631578947368421 转换B1.0
  	class: 互相  	d: 11  	pt: 2.0  	diff:  相A1.0 并行B1.0
  	class: 挥笔  	d: 11  	pt: 2.0  	diff:  题A0.5217391304347826 书A0.4782608695652174 书写B1.0
  	class: 价值  	d: 2  	pt: 2.0  	diff:  价值A1.0 值B1.0
  	class: 版本  	d: 2  	pt: 2.0  	diff:  版A1.0 版本B1.0
  	class: 宽度  	d: 19  	pt: 2.0  	diff:  开间A1.0 幅度B1.0
  	class: 遗失  	d: 8  	pt: 2.0  	diff:  掉A0.4482758620689655 不见A0.06896551724137931 少A0.4827586206896552 丢失B1.0
  	class: 任意  	d: 17  	pt: 2.0  	diff:  自由A0.5454545454545454 轻易A0.36363636363636365 任性A0.09090909090909091 任意B1.0
  	class: 拆  	d: 8  	pt: 2.0  	diff:  拆开A1.0 拆除B1.0
  	class: 推测  	d: 16  	pt: 2.0  	diff:  想来A1.0 推断B1.0
  	class: 保存  	d: 3  	pt: 2.0  	diff:  保留A1.0 保存B1.0
  	class: 重视  	d: 28  	pt: 1.9999999999999998  	diff:  尊重A0.5384615384615384 珍惜A0.23076923076923078 推崇A0.07692307692307693 看重A0.07692307692307693 珍视A0.07692307692307693 器B1.0
  	class: 返回  	d: 7  	pt: 1.9682539682539684  	diff:  回来A0.4444444444444444 回去A0.31746031746031744 回到A0.2222222222222222 返回AB0.9841269841269842
  	class: 增长  	d: 6  	pt: 1.92  	diff:  添加AB0.96 长A0.96
  	class: 希望  	d: 23  	pt: 1.878787878787879  	diff:  梦想A0.21212121212121213 希望A0.5757575757575758 期待AB0.9393939393939394 期A0.030303030303030304 希A0.030303030303030304 仰望A0.030303030303030304 只求A0.015151515151515152 期望A0.030303030303030304 指望A0.015151515151515152
  	class: 答应  	d: 10  	pt: 1.8666666666666667  	diff:  答应A0.8666666666666667 承诺A0.06666666666666667 应AB0.9333333333333333
  	class: 吸引  	d: 8  	pt: 1.8  	diff:  引发AB0.9 吸引A0.4 抓住A0.5
  	class: 损坏  	d: 10  	pt: 1.692307692307692  	diff:  摔A0.6923076923076923 破坏AB0.8461538461538461 毁掉A0.07692307692307693 损坏A0.07692307692307693
  	class: 包含  	d: 25  	pt: 1.6666666666666665  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含AB0.8333333333333334 暗含A0.08333333333333333 富含A0.08333333333333333 带有A0.25 隐含A0.08333333333333333
  	class: 删除  	d: 10  	pt: 1.6666666666666665  	diff:  删A0.5 抹A0.3333333333333333 删除AB0.8333333333333334
  	class: 零碎  	d: 12  	pt: 1.6  	diff:  碎A0.8 碎片AB0.8
  	class: 下令  	d: 13  	pt: 1.6  	diff:  命令AB0.3 命A0.8 指令B0.5
  	class: 成为  	d: 8  	pt: 1.6  	diff:  成A0.8 化AB0.8
  	class: 宣布  	d: 11  	pt: 1.5  	diff:  公布A0.25 发布AB0.75 揭晓A0.5
  	class: 内心  	d: 28  	pt: 1.4814814814814814  	diff:  内心A0.6666666666666666 心AB0.7407407407407407 心目A0.037037037037037035 胸A0.037037037037037035
  	class: 使用  	d: 14  	pt: 1.3333333333333335  	diff:  用到A0.3333333333333333 利用AB0.6666666666666667 动用A0.2222222222222222 运A0.1111111111111111
