	learn:mm.csv check jqzx.csv:379:业界 | 斯坦福博士李纪为成立AI金融公司香侬科技，获红杉中国数千万天使投资     	 Result: 	0.3253336344316709 	451 	184



  	class: 人  	d: 4  	pt: 2.0  	diff:  人物A0.8333333333333334 人选A0.16666666666666666 人士B1.0
  	class: 分  	d: 11  	pt: 2.0  	diff:  分层A1.0 分支B1.0
  	class: 人民  	d: 19  	pt: 2.0  	diff:  全民A1.0 国民B1.0
  	class: 群众  	d: 6  	pt: 2.0  	diff:  公众A0.9166666666666666 群众A0.08333333333333333 大众B1.0
  	class: 第一  	d: 18  	pt: 2.0  	diff:  处女A1.0 头条B1.0
  	class: 前人  	d: 6  	pt: 2.0  	diff:  前任A0.8888888888888888 过来人A0.1111111111111111 先驱B1.0
  	class: 军队  	d: 17  	pt: 2.0  	diff:  队伍A1.0 大军B1.0
  	class: 专家  	d: 5  	pt: 2.0  	diff:  专家A1.0 学者B1.0
  	class: 培养  	d: 11  	pt: 2.0  	diff:  培养A1.0 造就B1.0
  	class: 位于  	d: 12  	pt: 2.0  	diff:  放在A1.0 位于B1.0
  	class: 挖  	d: 18  	pt: 2.0  	diff:  挖掘A0.5 挖A0.5 发掘B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 赞成  	d: 4  	pt: 2.0  	diff:  赞同A1.0 倾向B1.0
  	class: 有利  	d: 16  	pt: 2.0  	diff:  便宜A1.0 造福B1.0
  	class: 习惯  	d: 6  	pt: 2.0  	diff:  习惯A1.0 习惯于B1.0
  	class: 取  	d: 4  	pt: 2.0  	diff:  提A1.0 提取B1.0
  	class: 惊奇  	d: 20  	pt: 2.0  	diff:  惊讶A0.3157894736842105 好奇A0.5263157894736842 惊呆A0.15789473684210525 惊奇B1.0
  	class: 便利  	d: 12  	pt: 2.0  	diff:  省心A0.6666666666666666 便捷A0.3333333333333333 简便B1.0
  	class: 准确  	d: 6  	pt: 2.0  	diff:  精确A1.0 准确B1.0
  	class: 相抵  	d: 3  	pt: 2.0  	diff:  平衡A1.0 抵消B1.0
  	class: 诞生  	d: 7  	pt: 2.0  	diff:  出生A0.8 诞生A0.2 落地B1.0
  	class: 不能  	d: 9  	pt: 2.0  	diff:  得不到A1.0 无从B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  下车A1.0 就职B1.0
  	class: 积累  	d: 5  	pt: 2.0  	diff:  积累A0.75 累积A0.25 积淀B1.0
  	class: 来  	d: 7  	pt: 2.0  	diff:  来到A1.0 来临B1.0
  	class: 加以  	d: 2  	pt: 2.0  	diff:  加A1.0 给定B1.0
  	class: 就是  	d: 9  	pt: 2.0  	diff:  身为A1.0 便是B1.0
  	class: 心情  	d: 8  	pt: 1.9574468085106382  	diff:  心态A0.19148936170212766 情绪A0.2553191489361702 心情A0.5319148936170213 情怀AB0.9787234042553191
  	class: 描写  	d: 12  	pt: 1.945945945945946  	diff:  写A0.972972972972973 形容AB0.972972972972973
  	class: 收  	d: 13  	pt: 1.9  	diff:  收到A0.55 接到A0.25 接收AB0.95 接纳A0.15
  	class: 种类  	d: 12  	pt: 1.8823529411764706  	diff:  类型AB0.9411764705882353 项目A0.8823529411764706 花色A0.058823529411764705
  	class: 取得  	d: 16  	pt: 1.8823529411764706  	diff:  抱A0.5294117647058824 赢得A0.058823529411764705 收获A0.058823529411764705 取A0.058823529411764705 获取AB0.9411764705882353 博A0.11764705882352941 落A0.058823529411764705 拿走A0.0392156862745098 沾A0.0196078431372549
  	class: 超越  	d: 9  	pt: 1.8604651162790697  	diff:  超A0.627906976744186 跳A0.20930232558139536 超越AB0.9302325581395349 跨越A0.023255813953488372 超过A0.06976744186046512
  	class: 采集  	d: 18  	pt: 1.8235294117647058  	diff:  收集AB0.9117647058823529 征集A0.4117647058823529 采访A0.5
  	class: 相遇  	d: 15  	pt: 1.7777777777777777  	diff:  遇见AB0.8888888888888888 遇上A0.4444444444444444 撞A0.2222222222222222 碰到A0.2222222222222222
  	class: 资本  	d: 12  	pt: 1.75  	diff:  资本A0.25 成本A0.625 基金AB0.7638888888888888 资金B0.1111111111111111
  	class: 妻  	d: 19  	pt: 1.7391304347826086  	diff:  老婆A0.21739130434782608 女人A0.5869565217391305 妻子A0.021739130434782608 太太AB0.8695652173913043 夫人A0.043478260869565216
  	class: 非常  	d: 47  	pt: 1.7333333333333332  	diff:  不行A0.18095238095238095 死A0.2761904761904762 坏AB0.8666666666666667 生A0.2 杀A0.0761904761904762 要命A0.02857142857142857 深A0.01904761904761905 可怜A0.0380952380952381 挺A0.01904761904761905 稀A0.009523809523809525 绷A0.009523809523809525 够呛A0.009523809523809525
  	class: 水平  	d: 5  	pt: 1.7333333333333332  	diff:  程度A0.6666666666666666 水平AB0.8666666666666667 品位A0.2
  	class: 杰出  	d: 36  	pt: 1.7142857142857142  	diff:  典型AB0.8571428571428572 超人A0.7857142857142857 出众A0.07142857142857142
  	class: 见解  	d: 8  	pt: 1.6666666666666665  	diff:  视角A0.3333333333333333 看法A0.3333333333333333 意见A0.16666666666666666 理念AB0.33333333333333337 眼光B0.5
  	class: 意味  	d: 9  	pt: 1.5652173913043477  	diff:  味道A0.4782608695652174 代表A0.21739130434782608 象征A0.08695652173913043 意味着AB0.4492753623188406 意味B0.3333333333333333
  	class: 寻找  	d: 23  	pt: 1.561538461538461  	diff:  找AB0.7134615384615384 摸A0.038461538461538464 搜索AB0.5807692307692307 寻找A0.028846153846153848 查找B0.2
  	class: 注意  	d: 17  	pt: 1.5384615384615385  	diff:  小心A0.5384615384615384 在意A0.19230769230769232 专注AB0.7692307692307692 留意A0.038461538461538464
  	class: 起源  	d: 12  	pt: 1.5  	diff:  来源A0.5 根源A0.25 来源于AB0.75
  	class: 包含  	d: 25  	pt: 1.5  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含A0.16666666666666666 暗含A0.08333333333333333 富含A0.08333333333333333 带有AB0.75 隐含A0.08333333333333333
  	class: 长久  	d: 39  	pt: 1.5  	diff:  久A0.75 漫长AB0.75
  	class: 宣布  	d: 11  	pt: 1.5  	diff:  公布A0.25 发布AB0.75 揭晓A0.5
  	class: 内心  	d: 28  	pt: 1.4814814814814814  	diff:  内心A0.6666666666666666 心AB0.7407407407407407 心目A0.037037037037037035 胸A0.037037037037037035
  	class: 思考  	d: 20  	pt: 1.4468085106382977  	diff:  想想A0.3829787234042553 思维A0.2765957446808511 思考AB0.7234042553191489 心想A0.06382978723404255
  	class: 对  	d: 6  	pt: 1.4285714285714286  	diff:  面对AB0.7142857142857143 面A0.3333333333333333 劈A0.38095238095238093
  	class: 著名  	d: 33  	pt: 1.4285714285714286  	diff:  名牌A0.2857142857142857 知名A0.2857142857142857 著名AB0.2142857142857143 响当当A0.14285714285714285 资深B0.5
  	class: 机关  	d: 3  	pt: 1.4285714285714286  	diff:  机构AB0.7142857142857143 部门A0.7142857142857143
  	class: 戏弄  	d: 10  	pt: 1.4285714285714284  	diff:  调侃A0.2857142857142857 捉弄A0.14285714285714285 玩儿AB0.7142857142857143 恶作剧A0.14285714285714285 愚弄A0.14285714285714285
  	class: 了解  	d: 29  	pt: 1.4074074074074074  	diff:  懂A0.5555555555555556 理解AB0.7037037037037037 懂得A0.1111111111111111 了了A0.037037037037037035
  	class: 使用  	d: 14  	pt: 1.3333333333333335  	diff:  用到A0.3333333333333333 利用AB0.6666666666666667 动用A0.2222222222222222 运A0.1111111111111111
  	class: 政策  	d: 5  	pt: 1.3333333333333335  	diff:  政策A0.6666666666666666 策略AB0.6666666666666667
  	class: 推动  	d: 12  	pt: 1.3333333333333335  	diff:  推A0.625 推进AB0.041666666666666685 推动B0.6666666666666666
  	class: 改变  	d: 11  	pt: 1.3103448275862069  	diff:  改变AB0.6551724137931034 改A0.3103448275862069 转A0.20689655172413793 改成A0.10344827586206896 更改A0.034482758620689655
  	class: 中心  	d: 11  	pt: 1.2000000000000002  	diff:  核心AB0.6 中心A0.5 为重A0.1
