	learn:mm.csv check jqzx.csv:394:教程 | 用数据玩点花样！如何构建skim-gram模型来训练和可视化词向量     	 Result: 	0.343831659824355 	236 	89



  	class: 非常  	d: 47  	pt: 2.0  	diff:  不行A0.18095238095238095 死A0.2761904761904762 坏A0.13333333333333333 生A0.2 杀A0.0761904761904762 要命A0.02857142857142857 深A0.01904761904761905 可怜A0.0380952380952381 挺A0.01904761904761905 稀A0.009523809523809525 绷A0.009523809523809525 够呛A0.009523809523809525 酷B1.0
  	class: 躲藏  	d: 27  	pt: 2.0  	diff:  隐形A0.3333333333333333 躲A0.6666666666666666 隐藏B1.0
  	class: 影  	d: 5  	pt: 2.0  	diff:  阴影A0.5 影子A0.5 投影B1.0
  	class: 噪音  	d: 2  	pt: 2.0  	diff:  噪音A1.0 噪声B1.0
  	class: 割裂  	d: 7  	pt: 2.0  	diff:  隔断A1.0 隔离B1.0
  	class: 模型  	d: 3  	pt: 2.0  	diff:  模子A1.0 模型B1.0
  	class: 消除  	d: 43  	pt: 2.0  	diff:  破A0.6875 脱A0.1875 散A0.0625 消A0.0625 消除B1.0
  	class: 邻近  	d: 10  	pt: 2.0  	diff:  邻座A1.0 相邻B1.0
  	class: 集合  	d: 28  	pt: 2.0  	diff:  凑合A0.625 集A0.125 会合A0.125 凑A0.125 集合B1.0
  	class: 改换  	d: 12  	pt: 2.0  	diff:  换A0.3684210526315789 变A0.631578947368421 转换B1.0
  	class: 一再  	d: 23  	pt: 2.0  	diff:  反复A0.625 勤A0.25 频繁A0.125 数B1.0
  	class: 一方面  	d: 8  	pt: 2.0  	diff:  单方面A1.0 单向B1.0
  	class: 分开  	d: 13  	pt: 2.0  	diff:  分A0.9285714285714286 细分A0.07142857142857142 分割B1.0
  	class: 抛弃  	d: 27  	pt: 2.0  	diff:  扔A0.19047619047619047 丢A0.5238095238095238 抛弃A0.19047619047619047 丢掉A0.09523809523809523 丢弃B1.0
  	class: 任意  	d: 17  	pt: 2.0  	diff:  自由A0.5454545454545454 轻易A0.36363636363636365 任性A0.09090909090909091 任意B1.0
  	class: 推动  	d: 12  	pt: 2.0  	diff:  推A0.625 推进A0.375 有助于B1.0
  	class: 放  	d: 11  	pt: 2.0  	diff:  放到A0.7142857142857143 前置A0.2857142857142857 嵌入B1.0
  	class: 照射  	d: 10  	pt: 2.0  	diff:  投射A0.038461538461538464 炫耀A0.6923076923076923 投A0.23076923076923078 照射A0.038461538461538464 映射B1.0
  	class: 创立  	d: 11  	pt: 2.0  	diff:  创造A0.8333333333333334 创A0.08333333333333333 创立A0.08333333333333333 创建B1.0
  	class: 保存  	d: 3  	pt: 2.0  	diff:  保留A1.0 保存B1.0
  	class: 加以  	d: 2  	pt: 2.0  	diff:  加A1.0 给定B1.0
  	class: 学科  	d: 4  	pt: 1.8571428571428572  	diff:  课程A0.8571428571428571 科目A0.07142857142857142 教程AB0.9285714285714286
  	class: 下降  	d: 23  	pt: 1.857142857142857  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑A0.21428571428571427 低落A0.07142857142857142 下降A0.21428571428571427 降低AB0.9285714285714286 降A0.07142857142857142
  	class: 顶用  	d: 19  	pt: 1.7142857142857144  	diff:  有用A0.42857142857142855 实用A0.42857142857142855 可行AB0.8571428571428572
  	class: 结束  	d: 38  	pt: 1.7037037037037037  	diff:  完A0.6049382716049383 结束AB0.8518518518518519 截止A0.09876543209876543 结A0.012345679012345678 收A0.12345679012345678 利落A0.012345679012345678
  	class: 包含  	d: 25  	pt: 1.6666666666666665  	diff:  涵盖A0.08333333333333333 含蓄A0.08333333333333333 含A0.16666666666666666 包含AB0.8333333333333334 暗含A0.08333333333333333 富含A0.08333333333333333 带有A0.25 隐含A0.08333333333333333
  	class: 删除  	d: 10  	pt: 1.6666666666666665  	diff:  删A0.5 抹A0.3333333333333333 删除AB0.8333333333333334
  	class: 显示  	d: 12  	pt: 1.65  	diff:  展示AB0.4 显示AB0.425 显得A0.775 亮A0.025 来得A0.025
  	class: 改变  	d: 11  	pt: 1.5862068965517242  	diff:  改变A0.3448275862068966 改A0.3103448275862069 转AB0.7931034482758621 改成A0.10344827586206896 更改A0.034482758620689655
  	class: 相距  	d: 7  	pt: 1.5555555555555556  	diff:  离开A0.7222222222222222 距离AB0.7777777777777778 相差A0.05555555555555555
  	class: 文件  	d: 6  	pt: 1.5  	diff:  文件AB0.75 文本B0.75
  	class: 打算  	d: 7  	pt: 1.5  	diff:  打算A0.75 试图AB0.75
  	class: 近似  	d: 17  	pt: 1.4285714285714286  	diff:  看似A0.05714285714285714 接近AB0.7142857142857143 类似A0.17142857142857143 好像A0.4 像样A0.05714285714285714 相仿A0.02857142857142857
