	learn:mm.csv check jqzx.csv:97:杨瓞仁教授代理港科大CSE系主任，杨强教授期满卸任     	 Result: 	0.3419487921450597 	271 	113



  	class: 教师  	d: 16  	pt: 2.0  	diff:  老师A0.9615384615384616 导师A0.038461538461538464 教师B1.0
  	class: 达到  	d: 10  	pt: 2.0  	diff:  达A1.0 达成B1.0
  	class: 共同  	d: 31  	pt: 2.0  	diff:  合伙A0.5 协同A0.5 联合B1.0
  	class: 主持人  	d: 4  	pt: 2.0  	diff:  主持人A1.0 主席B1.0
  	class: 专家  	d: 5  	pt: 2.0  	diff:  专家A1.0 学者B1.0
  	class: 杰出  	d: 36  	pt: 2.0  	diff:  典型A0.14285714285714285 超人A0.7857142857142857 出众A0.07142857142857142 杰出B1.0
  	class: 热门  	d: 11  	pt: 2.0  	diff:  香A0.4 热点A0.2 俏A0.2 吃香A0.2 热门B1.0
  	class: 羊  	d: 2  	pt: 2.0  	diff:  羊A1.0 羊群B1.0
  	class: 位于  	d: 12  	pt: 2.0  	diff:  放在A1.0 位于B1.0
  	class: 计算机  	d: 8  	pt: 2.0  	diff:  电脑A1.0 计算机B1.0
  	class: 开始  	d: 24  	pt: 2.0  	diff:  开A0.7368421052631579 开头A0.23684210526315788 初始A0.02631578947368421 开端B1.0
  	class: 完成  	d: 18  	pt: 2.0  	diff:  交卷A0.5 到位A0.5 成就B1.0
  	class: 缺点  	d: 14  	pt: 2.0  	diff:  缺点A0.8666666666666667 弱点A0.06666666666666667 瑕疵A0.06666666666666667 缺陷B1.0
  	class: 计划  	d: 14  	pt: 2.0  	diff:  计划A1.0 规划B1.0
  	class: 迁移  	d: 8  	pt: 2.0  	diff:  搬A1.0 迁移B1.0
  	class: 就是  	d: 9  	pt: 2.0  	diff:  身为A1.0 视为B1.0
  	class: 激发  	d: 10  	pt: 1.8947368421052633  	diff:  抖A0.42105263157894735 激发A0.05263157894736842 刺激A0.47368421052631576 激励AB0.9473684210526316
  	class: 种类  	d: 12  	pt: 1.8823529411764706  	diff:  类型AB0.9411764705882353 项目A0.8823529411764706 花色A0.058823529411764705
  	class: 取得  	d: 16  	pt: 1.8823529411764706  	diff:  抱A0.5294117647058824 赢得A0.058823529411764705 收获AB0.9411764705882353 取A0.058823529411764705 获取A0.058823529411764705 博A0.11764705882352941 落A0.058823529411764705 拿走A0.0392156862745098 沾A0.0196078431372549
  	class: 觉察  	d: 6  	pt: 1.870967741935484  	diff:  发现A0.9139784946236559 意识AB0.935483870967742 察觉A0.021505376344086023
