	learn:mm.csv check mm.csv:58:有些年轻人，除了年轻，什么也没有     	 Result: 	0.22579180107995134 	317 	155



  	class: 凸起  	d: 8  	pt: 2.0  	diff:  暴A1.0 崛起B1.0
  	class: 觉察  	d: 6  	pt: 1.870967741935484  	diff:  发现A0.9139784946236559 意识AB0.935483870967742 察觉A0.021505376344086023
  	class: 讨厌  	d: 20  	pt: 1.8666666666666667  	diff:  讨厌A0.6333333333333333 腻A0.03333333333333333 嫌A0.16666666666666666 厌AB0.9333333333333333 恶A0.1
  	class: 抛弃  	d: 27  	pt: 1.8095238095238095  	diff:  扔A0.19047619047619047 丢A0.5238095238095238 抛弃A0.19047619047619047 丢掉AB0.9047619047619048
  	class: 振奋  	d: 23  	pt: 1.8  	diff:  精神A0.2 动感A0.4 充沛AB0.9 来劲A0.2 饱满A0.1
  	class: 前人  	d: 6  	pt: 1.7777777777777777  	diff:  前任A0.8888888888888888 过来人AB0.8888888888888888
  	class: 庸俗  	d: 17  	pt: 1.7142857142857144  	diff:  无聊A0.7142857142857143 世俗AB0.8571428571428572 庸俗A0.14285714285714285
  	class: 愿意  	d: 14  	pt: 1.7142857142857142  	diff:  甘心A0.14285714285714285 愿A0.5714285714285714 乐于AB0.8571428571428572 肯A0.14285714285714285
  	class: 收  	d: 13  	pt: 1.7000000000000002  	diff:  收到A0.55 接到A0.25 接收A0.05 接纳AB0.85
  	class: 热门  	d: 11  	pt: 1.6  	diff:  香A0.4 热点A0.2 俏A0.2 吃香AB0.8
  	class: 成为  	d: 8  	pt: 1.6  	diff:  成A0.8 化AB0.8
  	class: 时候  	d: 5  	pt: 1.5  	diff:  时光AB0.75 时段A0.75
  	class: 数量  	d: 7  	pt: 1.5  	diff:  数据A0.75 数量AB0.75
  	class: 积累  	d: 5  	pt: 1.5  	diff:  积累A0.75 累积AB0.75
  	class: 涉及  	d: 14  	pt: 1.4181818181818182  	diff:  关系A0.509090909090909 干AB0.7090909090909091 提到A0.18181818181818182 涉及A0.01818181818181818
  	class: 不料  	d: 22  	pt: 1.375  	diff:  想得到A0.0625 奇怪A0.5625 意外AB0.6875 飞A0.0625
  	class: 重要  	d: 29  	pt: 1.368421052631579  	diff:  关键AB0.6842105263157895 重点A0.6842105263157895
  	class: 惊奇  	d: 20  	pt: 1.368421052631579  	diff:  惊讶AB0.6842105263157895 好奇A0.5263157894736842 惊呆A0.15789473684210525
  	class: 风景  	d: 14  	pt: 1.3333333333333335  	diff:  风光A0.6666666666666666 景点AB0.6666666666666667
  	class: 相配  	d: 9  	pt: 1.3333333333333335  	diff:  匹配AB0.6666666666666667 配合A0.6666666666666666
  	class: 弱小  	d: 15  	pt: 1.3333333333333335  	diff:  柔弱A0.6666666666666666 弱小AB0.6666666666666667
