	learn:mm.csv check mm.csv:71:五音不全的人，如何坚强地活在这个世上     	 Result: 	0.1975129033512337 	448 	199



  	class: 照射  	d: 10  	pt: 1.923076923076923  	diff:  投射A0.038461538461538464 炫耀A0.6923076923076923 投A0.23076923076923078 照射AB0.9615384615384616
  	class: 出席  	d: 11  	pt: 1.8947368421052633  	diff:  参加A0.8947368421052632 出席A0.05263157894736842 在场AB0.9473684210526316
  	class: 下降  	d: 23  	pt: 1.8571428571428572  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑A0.21428571428571427 低落A0.07142857142857142 下降A0.21428571428571427 降低A0.07142857142857142 降AB0.9285714285714286
  	class: 制止  	d: 10  	pt: 1.8333333333333335  	diff:  挫A0.8333333333333334 扼杀A0.08333333333333333 制止AB0.9166666666666666
  	class: 符合  	d: 13  	pt: 1.8181818181818183  	diff:  适合A0.8181818181818182 符合A0.09090909090909091 入AB0.9090909090909091
  	class: 建议  	d: 8  	pt: 1.789473684210526  	diff:  建议A0.8421052631578947 提案A0.05263157894736842 提议AB0.8947368421052632
  	class: 称赞  	d: 37  	pt: 1.7499999999999996  	diff:  歌颂A0.075 赞叹A0.05 夸A0.525 赞AB0.2583333333333333 夸奖A0.175 讴歌A0.025 称赞A0.025 歌唱AB0.6166666666666666
  	class: 保护  	d: 7  	pt: 1.7333333333333334  	diff:  保护A0.5333333333333333 维护A0.3333333333333333 掩护AB0.8666666666666667
  	class: 牵连  	d: 14  	pt: 1.7142857142857144  	diff:  拉A0.8571428571428571 关AB0.8571428571428572
  	class: 最  	d: 21  	pt: 1.7142857142857144  	diff:  无限A0.7142857142857143 无比A0.14285714285714285 太AB0.8571428571428572
  	class: 消除  	d: 43  	pt: 1.625  	diff:  破A0.6875 脱AB0.8125 散A0.0625 消A0.0625
  	class: 劳驾  	d: 16  	pt: 1.625  	diff:  累A0.53125 烦AB0.8125 辛苦A0.28125
  	class: 预示  	d: 5  	pt: 1.6  	diff:  预告A0.2 主A0.6 预兆AB0.8
  	class: 振奋  	d: 23  	pt: 1.6  	diff:  精神A0.2 动感A0.4 充沛A0.1 来劲AB0.8 饱满A0.1
  	class: 流行  	d: 7  	pt: 1.6  	diff:  流行A0.8 兴AB0.8
  	class: 诞生  	d: 7  	pt: 1.6  	diff:  出生A0.8 诞生AB0.8
  	class: 发生  	d: 8  	pt: 1.5999999999999999  	diff:  发生A0.64 发出AB0.8 闹A0.16
  	class: 请求  	d: 13  	pt: 1.5925925925925926  	diff:  请A0.7777777777777778 求AB0.40740740740740744 呼吁AB0.3888888888888889 伸手A0.018518518518518517
  	class: 机关  	d: 3  	pt: 1.4285714285714286  	diff:  机构AB0.7142857142857143 部门A0.7142857142857143
  	class: 引起  	d: 9  	pt: 1.4285714285714284  	diff:  逗A0.5714285714285714 唤起A0.14285714285714285 惹AB0.7142857142857143
  	class: 涉及  	d: 14  	pt: 1.4181818181818182  	diff:  关系A0.509090909090909 干AB0.7090909090909091 提到A0.18181818181818182 涉及A0.01818181818181818
