	learn:mm.csv check mm.csv:74:你上班5天了，我还在北海道看雪雪雪雪雪     	 Result: 	0.19288847236224038 	461 	219



  	class: 享受  	d: 8  	pt: 1.925925925925926  	diff:  分享A0.6666666666666666 享受A0.2962962962962963 享AB0.962962962962963
  	class: 富裕  	d: 38  	pt: 1.9200000000000002  	diff:  有钱A0.56 宽A0.28 充盈A0.04 富贵A0.04 富足A0.04 富AB0.96
  	class: 掉转  	d: 11  	pt: 1.878787878787879  	diff:  回A0.7575757575757576 转过AB0.9393939393939394 扭曲A0.030303030303030304 转头A0.15151515151515152
  	class: 路程  	d: 7  	pt: 1.8571428571428572  	diff:  路A0.7857142857142857 程A0.14285714285714285 路程AB0.9285714285714286
  	class: 辨别  	d: 13  	pt: 1.7142857142857144  	diff:  辨识A0.14285714285714285 辨别A0.2857142857142857 识别A0.42857142857142855 分辨AB0.8571428571428572
  	class: 愚笨  	d: 32  	pt: 1.7058823529411762  	diff:  傻A0.6764705882352942 懵AB0.8529411764705882 蠢A0.14705882352941177 傻气A0.029411764705882353
  	class: 价格  	d: 4  	pt: 1.6666666666666667  	diff:  价格A0.8333333333333334 价AB0.8333333333333334
  	class: 拒绝  	d: 11  	pt: 1.619047619047619  	diff:  拒绝A0.8095238095238095 不肯AB0.8095238095238095
  	class: 叫做  	d: 18  	pt: 1.6  	diff:  称呼A0.2 称为A0.6 名AB0.8
  	class: 下降  	d: 23  	pt: 1.5714285714285712  	diff:  跌A0.14285714285714285 退A0.21428571428571427 下滑AB0.7857142857142857 低落A0.07142857142857142 下降A0.21428571428571427 降低A0.07142857142857142 降A0.07142857142857142
  	class: 阳台  	d: 5  	pt: 1.5  	diff:  平台A0.75 阳台AB0.75
  	class: 感谢  	d: 9  	pt: 1.5  	diff:  感A0.75 感谢AB0.75
  	class: 害臊  	d: 17  	pt: 1.4285714285714284  	diff:  害羞AB0.7142857142857143 不好意思A0.5714285714285714 羞涩A0.14285714285714285
  	class: 坏  	d: 17  	pt: 1.4  	diff:  潮A0.2 鬼A0.5 蹩脚AB0.7
  	class: 生病  	d: 21  	pt: 1.3714285714285714  	diff:  生病AB0.2142857142857143 病A0.6285714285714286 患A0.05714285714285714 带病AB0.4714285714285714
  	class: 土产  	d: 5  	pt: 1.3333333333333335  	diff:  土A0.6666666666666666 土特产AB0.6666666666666667
  	class: 慨叹  	d: 9  	pt: 1.3333333333333335  	diff:  感慨A0.6666666666666666 感叹AB0.6666666666666667
  	class: 女  	d: 11  	pt: 1.3333333333333333  	diff:  女性AB0.6666666666666667 女A0.09090909090909091 女儿A0.45454545454545453 丫A0.030303030303030304 姑娘A0.09090909090909091
  	class: 正规  	d: 11  	pt: 1.3333333333333333  	diff:  专业A0.6296296296296297 标准AB0.6666666666666667 正规A0.037037037037037035
  	class: 添补  	d: 16  	pt: 1.25  	diff:  补A0.25 填补A0.125 找齐A0.125 添A0.125 补充AB0.625
  	class: 推动  	d: 12  	pt: 1.25  	diff:  推A0.625 推进AB0.625
  	class: 游荡  	d: 9  	pt: 1.25  	diff:  闲逛A0.25 游A0.125 逛逛AB0.625 逛A0.25
  	class: 包  	d: 6  	pt: 1.2000000000000002  	diff:  包裹A0.4 打包A0.2 包装AB0.6
  	class: 注视  	d: 13  	pt: 1.2000000000000002  	diff:  盯A0.4 瞄A0.2 只见AB0.3 注视AB0.3
  	class: 有趣  	d: 17  	pt: 1.1666666666666665  	diff:  有趣A0.5833333333333334 好玩AB0.5833333333333333
  	class: 开玩笑  	d: 11  	pt: 1.125  	diff:  开心AB0.5625 开玩笑AB0.5625
  	class: 差别  	d: 6  	pt: 1.1111111111111112  	diff:  差异A0.1111111111111111 差距AB0.5555555555555556 反差A0.4444444444444444
  	class: 遗失  	d: 8  	pt: 1.103448275862069  	diff:  掉AB0.5517241379310345 不见A0.06896551724137931 少A0.4827586206896552
  	class: 洗雪  	d: 7  	pt: 1.0833333333333335  	diff:  洗A0.5416666666666666 雪AB0.5416666666666667
  	class: 激发  	d: 10  	pt: 1.0526315789473684  	diff:  抖A0.42105263157894735 激发A0.05263157894736842 刺激AB0.5263157894736843 激励A0.05263157894736842
  	class: 意味  	d: 9  	pt: 1.0434782608695652  	diff:  味道AB0.5217391304347826 代表A0.21739130434782608 象征A0.08695652173913043 意味着A0.21739130434782608
  	class: 兄弟  	d: 9  	pt: 1.0  	diff:  哥们A0.5 兄弟AB0.5
  	class: 媳妇  	d: 9  	pt: 1.0  	diff:  媳妇A0.3333333333333333 儿媳妇A0.16666666666666666 儿媳AB0.5
  	class: 指甲  	d: 2  	pt: 1.0  	diff:  指甲A0.5 指甲盖AB0.5
  	class: 鞋  	d: 6  	pt: 1.0  	diff:  鞋子A0.5 鞋AB0.5
  	class: 功夫  	d: 5  	pt: 1.0  	diff:  功夫A0.5 功AB0.5
  	class: 走  	d: 9  	pt: 1.0  	diff:  走路AB0.5 行走A0.5
  	class: 克制  	d: 10  	pt: 1.0  	diff:  憋A0.3 压抑A0.1 克制AB0.5 按压A0.1
  	class: 发烧  	d: 5  	pt: 1.0  	diff:  烧A0.5 发烧AB0.5
  	class: 出汗  	d: 10  	pt: 1.0  	diff:  冒汗A0.5 流汗AB0.5
  	class: 精巧  	d: 22  	pt: 0.9999999999999999  	diff:  精致AB0.5 娇小A0.16666666666666666 小巧A0.16666666666666666 精细A0.16666666666666666
  	class: 惊奇  	d: 20  	pt: 0.9473684210526316  	diff:  惊讶A0.3157894736842105 好奇AB0.4736842105263158 惊呆A0.15789473684210525
  	class: 取得  	d: 16  	pt: 0.9411764705882354  	diff:  抱AB0.47058823529411764 赢得A0.058823529411764705 收获A0.058823529411764705 取A0.058823529411764705 获取A0.058823529411764705 博A0.11764705882352941 落A0.058823529411764705 拿走A0.0392156862745098 沾A0.0196078431372549
  	class: 幸福  	d: 11  	pt: 0.9285714285714286  	diff:  甜A0.39285714285714285 幸福AB0.4642857142857143 甜美A0.03571428571428571 甜蜜A0.03571428571428571
  	class: 注意  	d: 17  	pt: 0.923076923076923  	diff:  小心AB0.46153846153846156 在意A0.19230769230769232 专注A0.23076923076923078 留意A0.038461538461538464
  	class: 管保  	d: 16  	pt: 0.9166666666666666  	diff:  包AB0.45833333333333337 保证A0.2916666666666667 保A0.125 打包票A0.041666666666666664
  	class: 父  	d: 15  	pt: 0.9130434782608696  	diff:  老子AB0.19565217391304346 爸A0.45652173913043476 爸爸AB0.2608695652173913
  	class: 爆裂  	d: 7  	pt: 0.9090909090909092  	diff:  崩A0.18181818181818182 炸A0.2727272727272727 爆AB0.4545454545454546
  	class: 贴  	d: 9  	pt: 0.8888888888888888  	diff:  粘A0.1111111111111111 糊A0.3333333333333333 贴AB0.4444444444444444
  	class: 了解  	d: 29  	pt: 0.8888888888888888  	diff:  懂AB0.4444444444444444 理解A0.2962962962962963 懂得A0.1111111111111111 了了A0.037037037037037035
